County,Market Name,Market Location,Address Line 1,City,State,Zip,Contact,Phone,Market Link,Operation Hours,Operation Season,Operating Months,FMNP,SNAP,FCC Issued,FCC Accepted,Latitude,Longitude,Georeference
Allegany,Wagoner Bees & Produce Farm Stand,11137 Wayne Rd.  Fillmore,11137 Wayne Rd.,Fillmore,ny,14735,Terry Wagoner,5856108836,,"M/W 2-6, T 3-7, F 1-6, Sat 12-6  Sun 1-5",May 15-October 31,P/M,Y,Y,N,Y,42.48057,-78.09042,"(42.48057, -78.09042)"
Kings,Bushwick Maria Hernandez Pk Farmers' Market,Knickerbocker Ave @ Starr & Suydam,Knickerbocker Avenue,Brooklyn,NY,11206,Bianca Bockman,7188210254,http://www.riseboro.org,Sat 9am-3pm,May 14-November 26,P/M,Y,Y,N,Y,40.70257,-73.92497,"(40.70257, -73.92497)"
Saratoga,My Other Garden Farm Stand,2192 Cook Road Ballston Lake,2192 Cook Road,Ballston Lake,NY,12019,Maria Matthews,5188825416,,"Daily 10am-6pm, Closed Tue  Thu 10am-12pm",June 1-November 30,M,Y,N,N,Y,42.97542,-73.99127,"(42.97542, -73.99127)"
Schenectady,Veggie Mobile-Schenectady DSS,797 Broadway Schenectady,797 Broadway,Schenectady,NY,12305,Audrey Bridge,5182748685,http://www.capitalroots.org,Mon  3pm-3:45pm,Year-round,YR,N,Y,N,Y,42.80375,-73.95193,"(42.80375, -73.95193)"
Franklin,JCEO MM-Alice Center,45 6th St Malone,45 6th St,Malone,NY,12953,Robert King,5183194028,http://www.jceo.org,Thu 10am-11:30am,June 1-September 30,M,Y,Y,N,Y,44.86017,-74.29201,"(44.86017, -74.29201)"
Fulton,Gloversville Farmers' Market,Elm Street Pavilion,9 Elm Street,Gloversville,NY,12078,Michael Tillson,5188829306,http://www.fmfma.org,Sat 8:30am-12:30pm,May 7-October 15,P/M,Y,N,N,Y,43.052604,-74.345796,"(43.052604, -74.345796)"
Queens,NYC Health+Hospitals Farmers' Market-Queens 2,114-02 Guy R Brewer Blvd Jamaica,114-02 Guy R Brewer Blvd,Queens,NY,11434,Sherly Thomas,7188836634,http://www.nychealthandhospitals.org/queens,Tue 8am-5pm,July 21-November 23,M,Y,N,N,Y,40.68851,-73.78588,"(40.68851, -73.78588)"
New York,57th Street Wednesday Greenmarket,475 W 57th St @ 58th St,891 Tenth Ave,New York,NY,10019,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Wed 8am-5pm,June 8-November 23,M,Y,Y,N,Y,40.7695,-73.98841,"(40.7695, -73.98841)"
Oneida,Clinton Farmers' Market,Village Green  21 West Park Row,21 West Park Row,Clinton,NY,13323,Jackie Walters,3158531735,http://www.clintonnychamber.org,Thu 10am-4pm,June 2-October 6,M,Y,N,N,Y,43.04932,-75.37881,"(43.04932, -75.37881)"
Kings,Bensonhurst Greenmarket,8118 18th Ave btwn 81st & 82nd Sts,8100 18th Ave,Brooklyn,NY,11214,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Sun 9am-4pm,May 29-November 20,M,Y,Y,N,Y,40.60958,-73.99944,"(40.60958, -73.99944)"
Monroe,Curbside Market-Andrews Terrace,125 St. Paul St Rochester,125 Saint Paul Street,Rochester,NY,14604,Camille Verbofsky,5854135077,http://www.foodlinkny.org,Wed 1:15pm-2:30pm,Year-round,YR,Y,Y,N,Y,43.15872,-77.61047,"(43.15872, -77.61047)"
Schenectady,Schenectady City Hall Farmers' Market,105 Jay Street City Hall,105 Jay Street,Schenectady,NY,12305,Steve Feeney,5183862225,http://www.schenectadycounty.com/farmersmarket,Sun 10am-2pm,May 5-Oct 27,P/M,N,Y,N,Y,42.81378,-73.94032,"(42.81378, -73.94032)"
Cortland,Cortland Tues Farmers Market,13 Court St.  In front of Grace & Holy Spirit Church,Main St and Orchard St,Cortland,NY,13045,Nicole Bennett,6077588331,,Tue 8am-2pm,June 4-October 29,M,Y,Y,N,Y,42.60028,-76.18044,"(42.60028, -76.18044)"
Lewis,Roads End Orchards,5044 Crofoot Hill Rd Constableville,5044 Crofoot Hill Road,Constableville,NY,13325,Matthew Swiernik,3157833695,http://www.roadsendorchards.com,Sat/Sun 1pm-4pm,Year-round,YR,Y,N,N,Y,43.59227,-75.48159,"(43.59227, -75.48159)"
Dutchess,Poughkeepsie Plenty Fresh Market Farm Stand,29 N Hamilton St.  Family Partnership Center  Poughkeepsie,29 N Hamilton Street,Poughkeepsie,NY,12601,Stacy Dedring,8454543792,http://www.dutchessoutreach.org,"Tue-Thu 2p-5p, Fri 2pm-4pm",May 1-November 30,P/M,Y,Y,N,Y,41.70459,-73.92197,"(41.70459, -73.92197)"
Suffolk,HOG Farm Stand-Brookhaven,319 Beaverdam Rd. Brookhaven,319 Beaverdam Rd,Brookhaven,NY,11719,Lauren Napoli,6317902561,http://thehogfarm.org,"M/W/F 3:30pm-6:30pm, Sat 9am-1pm",May 7-December 10,P/M/X,Y,Y,N,Y,40.77329,-72.90525,"(40.77329, -72.90525)"
New York,Tompkins Square Greenmarket,Tompkins Square Park 111 Ave A at E 7 St,Avenue A and East 7th St,New York,NY,10009,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/manhattan/tompkins-square,Sun 9am-5pm,Year-round,YR,Y,Y,N,Y,40.72602,-73.98353,"(40.72602, -73.98353)"
Wyoming,Merle's Fresh Produce Farm Stand,1408 Creek Rd. Rt 98 Attica,1408 Creek Road,Attica,NY,14011,Ashley Merle,5857081465,,"Mon-Fri 10am-6pm, Sat 10am-5pm",June 15-December 31,M/X,Y,N,N,Y,42.81336,-78.30333,"(42.81336, -78.30333)"
Chemung,Wisner Park Farmers' Market,208 W Grey St. Elmira,208 W Grey Street,Elmira,NY,14901,Tiffany Millerd,6077340341,http://www.wisnermarket.org,Thu 10am-2pm,Jun 6-Sept 29,M,Y,Y,N,Y,42.08943,-76.80801,"(42.08943, -76.80801)"
New York,Union Square Friday Greenmarket,"31 Union Square W, NW side of Park",Broadway and East 17th St,New York,NY,10003,Siobahn Keys,2127887476,https://www.grownyc.org/greenmarket,Fri 8am-6pm,Year-round,YR,Y,Y,N,Y,40.73701,-73.99025,"(40.73701, -73.99025)"
Saratoga,Spa City Farmers' Market,"65 South Broadway Saratoga Spa St Pk, Lincoln Bath House Building",65 South Broadway,Saratoga Springs,NY,12866,Colleen Zorbas,5183390958,http://www.spacityfarmersmarket.com,Sun 10am-2pm,Year-round,YR,Y,N,N,Y,43.06474,-73.78876,"(43.06474, -73.78876)"
Erie,Huntington Farm Stand II,11503 Main Street Clarence,11503 Main Street,Clarence,NY,14031,Dan Huntington,7163930590,,Daily 11am-7pm,June 1-October 31,M,Y,N,N,Y,42.98909,-78.55762,"(42.98909, -78.55762)"
Orange,Fresh Meadow Farm Farm Stand,407 Ingrassia Rd Middletown,407 Ingrassia Road,Middletown,NY,10940,Cathy Stroll,8458008135,,Thu 3pm-7pm,May 12-November 3,P/M,Y,N,N,Y,41.47882,-74.42905,"(41.47882, -74.42905)"
Monroe,Curbside Market-Seneca Towers,200 Seth Green Dr Rochester,200 Seth Green St,Rochester,NY,14621,Camille Verbofsky,5854135077,http://www.foodlinkny.org,Tue 1:30pm-2:45pm,Year-round,YR,Y,Y,N,Y,43.1904,-77.61943,"(43.1904, -77.61943)"
Cattaraugus,Salamanca Farmers Market,768 Broad St Salamanca,768 Broad St,Salamanca,NY,14779,Rachael Ferguson,7168608419,,Tues 11am-5pm,May 24-Oct 25,P/M,N,Y,N,Y,42.1593,-78.74484,"(42.1593, -78.74484)"
Kings,Harvest Home Brower Park Farm Stand,Prospect Place & Brooklyn Ave. Next to Brooklyn Childrens Museum,Prospect Place and Brooklyn Ave.,Brooklyn,NY,11213,Maritza Owens,2128283361,http://www.harvesthomefm.org,Thursday 8am-4pm,June 16-November 17,M,Y,Y,N,Y,40.674,-73.94454,"(40.674, -73.94454)"
Monroe,Webster's Joe Obbie Farmers' Market,Webster Town Center 1028 Ridge Rd,1028 Ridge Road,Webster,NY,14580,Jason Bliek,5852611533,http://www.webstersjoeobbiefarmersmarketinc.org,Sat 8:30-1pm,June 11-October 29,M,Y,N,N,Y,43.20964,-77.45416,"(43.20964, -77.45416)"
Rensselaer,Troy Waterfront Farmers' Market,River St. Troy,282 River St,Troy,NY,12180,Stephen Ridler,5187084216,http://www.troymarket.org,Sat 9am-2pm,May 7-Oct 29,P/M,Y,Y,N,Y,42.73214,-73.6905,"(42.73214, -73.6905)"
Erie,Clinton Bailey Sat Farmers' Market,"1443-1517 Clinton St. Buffalo, corner of Clinton & Bailey Sts.",Bailey Ave and Clinton St,Buffalo,NY,14206,Sharon Baldi,7168222466,http://www.clintonbaileymarket.com,"Sat 4am-5pm, Nov-Apr 6am-12pm",Year-round,YR,Y,Y,N,Y,42.87205,-78.81998,"(42.87205, -78.81998)"
Orange,Florida NY Farmers' Market,Route 17 A & 94 across from Dollar Store,133 N Main Street,Florida,NY,10921,Janet Picarelli,8456518310,http://www.floridafarmersmarket.org,Tue 10am-4pm,June 21-October 25,M,Y,N,N,Y,41.33775,-74.35873,"(41.33775, -74.35873)"
Clinton,Champlain Farmers' Market,Paquette Park Gazebo Main Street (rte 9),Main Street,Champlain,NY,12919,Janet McFetridge,5182984152,http://www.vchamplain.com,Sat  9am-12pm,July 1-Sept 30,M,N,N,N,Y,44.98721,-73.44961,"(44.98721, -73.44961)"
Erie,Clinton Bailey Sun Farmers' Market,1443-1517 Clinton St. Buffalo,Bailey Ave and Clinton St,Buffalo,NY,14206,Sharon Baldi,7168222466,http://www.clintonbaileymarket.com,Sun 8am-5pm,May 7-October 31,P/M,Y,Y,N,Y,42.87206,-78.81997,"(42.87206, -78.81997)"
Orleans,Circle R Farm Market,13490 Roosevelt Highway Waterport,13490 Roosevelt Highway,Waterport,NY,14571,Laurie Gregori,5856824435,,Daily 9am-9pm,May 1-October 31,P/M,Y,N,N,Y,43.36049,-78.24848,"(43.36049, -78.24848)"
Dutchess,Beacon Farmers' Market,223 Main St.,Veteran's Place,Beacon,NY,12508,Lisa Urrico,8452314424,http://www.beaconfarmersmarket.org,Sun 10am-3pm,Year-round,YR,N,Y,N,Y,41.50402,-73.96823,"(41.50402, -73.96823)"
Madison,Cazenovia Farmers Market,Emory and Greene St.  Village Green,48 Albany St. Memorial Park,Cazenovia,NY,13035,Anna Marie Newland,3156559243,http://www.cazenoviachamber.com,Sat 9am-2pm,May 7-October 21,P/M,Y,N,N,Y,42.92975,-75.85456,"(42.92975, -75.85456)"
Otsego,Richfield Springs Area Thurs Farmers' Market,"Spring Park Main St. (Rt. 20), across from Post Office",Main St and Church St,Richfield Springs,NY,13439,Ronald Bayzon,3158582703,,Thu 2pm-6pm,June 18-October 29,M,Y,N,N,Y,42.85341,-74.98506,"(42.85341, -74.98506)"
Albany,Delaware Community Farmers' Market,"Delaware Branch Library, 331 Delaware Ave Albany",331 Delaware Ave,Albany,NY,12209,Louise McNeilly,5184320516,,"Tue 4pm-7pm, Oct-Nov 3pm-6pm",June 21-November 8,M,Y,Y,N,Y,42.64305,-73.77824,"(42.64305, -73.77824)"
Monroe,Curbside Market-Fairport Apartments,1030 Whitney Rd E Fairport,1030 Whitney Road E,Fairport,NY,14450,Camille Verbofsky,5854135077,http://www.foodlinkny.org,Thu 10:45am-11:45am,Year-round,YR,Y,Y,N,Y,43.10913,-77.43938,"(43.10913, -77.43938)"
Steuben,Bath Wednesday Farmers' Market,Pulteney Square Park Steuben St.,Steuben St and Liberty St,Bath,NY,14810,Hazel Buck,6077943494,,Wed 9am-2pm,May 4-October 26,P/M,Y,Y,N,Y,42.33353,-77.31842,"(42.33353, -77.31842)"
Sullivan,Rock Hill Farmers' Market,223 Rock Hill Drive,223 Rock Hill Drive,Rock Hill,NY,12775,Melinda Meddaugh,8452926180,http://www.rockhillfarmersmarket.com,Sat 10am-1pm,June 4-September 24,M,Y,N,N,Y,41.62515,-74.59634,"(41.62515, -74.59634)"
Nassau,Rockville Centre Farmers' Market,"Sunrise Hwy & Longbeach Rd. , Village of Rockville Centre",Sunrise Hwy and Long Beach Rd,Rockville Centre,NY,11570,Ethel Terry,6313233653,http://www.longislandgrowersmarket.com,Sun 7am-12pm,June 5-Dec 18,M/X,Y,N,N,Y,40.65712,-73.6321,"(40.65712, -73.6321)"
Chautauqua,Jamestown Mobile Market-Chautaqua Center,410 N Main St. Jamestown,410 North Main Street,Jamestown,NY,14701,Linnea Carlson,7162260650,http://jtownpublicmarket.org,"Wed 10am-2pm, Thu 1pm-5pm",June 15-September 28,M,Y,N,N,Y,42.09308,-79.23505,"(42.09308, -79.23505)"
Kings,4th Ave. Sunset Park Greenmarket,60 4th Ave btwn 59th & 60th Sts,4th Ave and 60th St,Brooklyn,NY,11220,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket,Sat 8am-3pm,July 9-November 19,M,Y,Y,N,Y,40.64081,-74.01836,"(40.64081, -74.01836)"
Nassau,Kennedy Plaza Long Beach Farmers' Market -Wed,1 West Chester St. Long Beach,1 West Chester St,Long Beach,NY,11561,Debbie Grattan,5166705046,http://www.ligreenmarket.org,Wed 9am-2pm,April 30-November 23,P/M,Y,N,N,Y,40.58943,-73.66592,"(40.58943, -73.66592)"
Monroe,Village of Fairport Farmers' Market,"58 S Main St parking lot, behind Bank of America",58 South Main St,Fairport,NY,14450,Bryan White,5854213201,,Sat 7am-12pm,May 7-November 20,P/M,Y,N,N,Y,43.09992,-77.44214,"(43.09992, -77.44214)"
Kings,Urban Oasis Farmers' Market,"Kingsboro Psychiatric Center, 681 Clarkson Ave. btwn Troy Ave & 43rd St.",681 Clarkson Ave,Brooklyn,NY,11203,Michelle Almonte,7182217132,,Wed 2pm-5:30pm,June 29-November 16,M,Y,N,N,Y,40.65621,-73.93741,"(40.65621, -73.93741)"
Rensselaer,Schaghticoke Farmers' Market,165 Main Street,165 Main Street,Schaghticoke,NY,12028,Lynne Hardy,2073195307,,Friday 4pm-6:30pm,June 3-October 14,M,N,N,N,Y,42.89646,-73.58713,"(42.89646, -73.58713)"
Albany,South End Healthy Farmers Market,Warren St between Phillip and Grand  Albany,20 Warren Street,Albany,NY,12202,Eva Bass,5184519849,https://avillageworks.org/south-end-night-market,Thursday  5pm-8pm,May 26-November 17,P/M,N,Y,N,Y,42.64326,-73.7599,"(42.64326, -73.7599)"
Madison,Village of Hamilton Farmers' Market,Village Green 3 Broad St.,Broad St and Payne St,Hamilton,NY,13346,Kim Taranto,3158241111,http://www.hamilton-ny.gov,Sat 8am-1pm,May 7-October 22,P/M,Y,Y,N,Y,42.82684,-75.54436,"(42.82684, -75.54436)"
Cattaraugus,Putt Farm Stand,3508 West Branch Road  Allegany NY,3508 West Branch Road,Allegany,NY,14706,Pamela Putt,7165449537,,"Mon-Wed 10-5p; Thu 10a-6p, Fri 9-1; Sat 10-7; Sun 1-5",July 25-October 29,M,Y,N,N,Y,42.06489,-78.49288,"(42.06489, -78.49288)"
Oneida,Wagner Farms Farm Stand,5841 Old Oneida Rd Rome,5841 Old Oneida Rd,Rome,NY,13440,Ronald Wagner,3153395182,http://wagnerfarmsny.com,Daily 10am-6pm,Year-round,YR,Y,N,N,Y,43.1805,-75.50086,"(43.1805, -75.50086)"
Dutchess,Beacon WINTER Farmers' Market,"223 Main St, Beacpm",413 Main Street,Beacon,NY,12508,Paloma Wake,5108514865,http://www.beaconfarmersmarket.org,Sun  10am-2pm,December 6-April 24,X/W/P,N,Y,Y,Y,41.50321,-73.96674,"(41.50321, -73.96674)"
Suffolk,Bethel Hobbs Community Farm Stand,178 Oxhead Rd.  Centereach,178 Oxhead Road,Centereach,NY,11720,Ann Pellegrino,6317741556,http://www.hobbsfarm.info,Sat 10am-3pm,June 18-October 15,P/M,Y,N,N,Y,40.872,-73.09635,"(40.872, -73.09635)"
Queens,Jackson Heights Greenmarket,78-09 34th Ave,78-99 34th Ave,Jackson heights,NY,11372,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/queens/jackson-heights,Sun 8am-2pm,Year-round,YR,Y,Y,N,Y,40.7535,-73.88791,"(40.7535, -73.88791)"
Monroe,Curbside Market-Kennedy Towers,666 S Plymouth Ave Rochester,666 South Plymouth Ave,Rochester,NY,14608,Camille Verbofsky,5854135077,http://www.foodlinkny.org,Mon 3:30pm-4:30pm,Year-round,YR,Y,Y,N,Y,43.14251,-77.61894,"(43.14251, -77.61894)"
Tioga,Candor Farmers Market,Town Hall 101 Owego St.,101 Owego Rd,Candor,NY,13743,Joellen Riggs,6077684072,http://www.candorfarmersmarket.org,Thu 3:30pm-6:30pm,June 16-September 1,M,Y,Y,N,Y,42.23249,-76.33317,"(42.23249, -76.33317)"
Warren,Glens Falls WINTER Farmers' Market,"Aviation Mall, 578 Aviation Rd, Queensbury, NY 12804","578 Aviation Rd, NY",Queensbury,NY,12804,Richard Sandora,5187920438,http://www.glensfallsfarmersmarket.com,Sat  9am-12pm,November 6-April 30,M/X/W/P,N,Y,N,Y,43.30817,-73.6419,"(43.30817, -73.6419)"
Chenango,Community Farmers' Market,East Park Norwich,East Park Place,Norwich,NY,13815,Carol Eichler,6073347674,,Fri/Sat 9am-3pm,May 1-November 30,P/M,Y,N,N,Y,42.53184,-75.5229,"(42.53184, -75.5229)"
Jefferson,Cross Island Farms Farm Stand,"44301 Cross Island Rd, Wellesley Island",44301 Cross Island Road,Wellesley Island,NY,13640,Dani Baker,3154823663,http://www.crossislandfarms.com,Daily 7am-8pm,Year-round,YR,Y,N,N,Y,44.30891,-76.00675,"(44.30891, -76.00675)"
Oneida,Whitesboro Farmers' Market,10 Park Ave Village Green,8 Park Avenue,Whitesboro,NY,13492,Ron Loubier,3157361613,,Mon 2pm-7pm,June 7-September 26,M,Y,N,N,Y,43.121773,-75.291136,"(43.121773, -75.291136)"
Kings,Grand Army Plaza Greenmarket,Flatbush Ave & Prospect Park W,Flatbush Ave and Grand Army Plaza,Brooklyn,NY,11238,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/brooklyn-grand-army-plaza,Sat 8am-4pm,Year-round,YR,Y,Y,N,Y,40.67412,-73.9695,"(40.67412, -73.9695)"
Niagara,North Tonawanda City Sat Farmers' Market,Robinson Rd. & Payne Ave.,310 Robinson Road,North Tonawanda,NY,14120,Donna Braun,7166958555,,Sat 7am-1pm,Year-round,YR,Y,Y,N,Y,43.03377,-78.87021,"(43.03377, -78.87021)"
Tompkins,Ithaca Farmers' Market (Steamboat Sat),"Steamboat Landing, 545 Third St. Extension off Rt. 13",545 Third Street,Ithaca,NY,14850,Kelly Sauve,6072737109,http://www.ithacamarket.com,Sat 9am-3pm,April 2-December 17,P/M/X,Y,Y,N,Y,42.44958,-76.50785,"(42.44958, -76.50785)"
Columbia,Germantown Farmers Market,50 Palatine Park Rd. Germantown,50 Palatine Park Road,Germantown,NY,12526,Lauren Williams,5185675691,,Sat 10am-1pm,May 28-October 29,P/M,Y,N,N,Y,42.135,-73.88551,"(42.135, -73.88551)"
New York,Dag Hammarskjold Plaza Greenmarket,245 E 47th St btwn 1st & 2nd Aves,East 47th St and Second Ave,New York,NY,10017,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/manhattan/dag-hammarskjold,Wed 8am-4pm,Year-round,YR,Y,Y,N,Y,40.75298,-73.96989,"(40.75298, -73.96989)"
Nassau,Crossroads Farm Farm Stand,480 Hempstead Ave. Malverne,480 Hempstead Ave,Malverne,NY,11565,Nella Stranieri,5168817900,http://www.xroadsfarmliny.com,"Fri 3pm-6pm, Sat-Sun 9am-3pm, Sat only in Nov",May 1-November 30,P/M,Y,N,N,Y,40.68066,-73.66376,"(40.68066, -73.66376)"
Monroe,Curbside Market-Creek House Commons,3000 White Swan Dr Rochester,3000 White Swan Dr,Rochester,NY,14626,Camille Verbofsky,5854135077,http://www.foodlinkny.org,Sat 3:30pm-4:15pm,Year-round,YR,Y,Y,N,Y,43.21894,-77.73798,"(43.21894, -77.73798)"
New York,Tribeca Greenmarket Saturday,315 Greenwich St at Chambers St,Greenwich St and Chambers St,New York,NY,10023,Siobahn Keys,2127887476,http://www.grownyc.org/greenmarket/manhattan/tribeca-sa,Sat 8am-3pm,Year-round,YR,Y,Y,N,Y,40.7163,-74.01097,"(40.7163, -74.01097)"
Allegany,Riverside Farms Farm Market,3314 Riverside Drive  Scio,3314 Riverside Drive,Scio,NY,14895,Stephen Demarte,7165605594,,"Mon-Sat  10am-6pm, Sun  12pm-5pm",May 1-Nov 26,P/M,N,N,N,Y,42.14093,-77.97553,"(42.14093, -77.97553)"
Bronx,Harvest Home N Central Bronx Farmers' Market,E. Mosholu Parkway N. & Jerome Ave.,Jerome Ave and East Mosholu Pkwy North,Bronx,NY,10467,Maritza Owens,2128283361,http://www.harvesthomefm.org,Wed 8am-4pm,June 15-November 23,M,Y,Y,N,Y,40.88046,-73.88385,"(40.88046, -73.88385)"
Essex,Willsboro Farmers' Market,Route 22 South of Champlain National Bank,3900 NY Rt 22,Willsboro,NY,12996,Vicky Rayl,5186517680,,Thurs  9am-1pm,June 16-Sept 8,M,N,N,N,Y,44.36971,-73.395629,"(44.36971, -73.395629)"
Westchester,Hilltop Hanover Farm Farm Stand,1271 Hanover St Yorktown Heights,1271 Hanover St,Yorktown heights,NY,10598,Andrew Tedder,9148625002,http://www.hilltophanoverfarm.org,"Fri 1pm-6pm, Sat-Sun 10am-4pm",April 23-November 19,P/M,Y,N,N,Y,41.25159,-73.7724,"(41.25159, -73.7724)"
Onondaga,Syracuse Eastside Neighborhood Market,Westcott Community Ctr 826 Euclid Ave,826 Euclid Ave,Syracuse,NY,13210,Jessica Ginney,3154788634,https://westcottcc.org/syracuse-eastside-farmers-market,Wed 2pm-6pm,June 1-November 1,M,Y,Y,N,Y,43.03662,-76.1192,"(43.03662, -76.1192)"
Montgomery,Clancy Farms Farm Stand,265 Heiser Rd.  Fort Plain,265 Heiser Road,Fort Plain,NY,13339,David Clancy,5189934806,,"Tues-Fri 10am-4pm, Sat 1pm-5pm",June 24-October 14,M,Y,N,N,Y,42.91494,-74.62885,"(42.91494, -74.62885)"
Chautauqua,Abers Acres Farm Stand,884 Route 394  Kennedy,884 Rte. 394,Kennedy,NY,14747,Sue Abers,7162672431,http://www.abersacres.com,"Daily 9am-6:30pm, Nov-May 19am-5pm",Year-round,YR,N,Y,N,Y,42.14495,-79.10996,"(42.14495, -79.10996)"
Otsego,Morris Farmers' Market,"Guy Rathbon Park 117 Main St., behind Firehouse",Main St and Church St,Morris,NY,13808,Kristina Shields,6072635203,,Thu 2:30pm-5:30pm,May 26-October 27,P/M,Y,N,N,Y,42.54813,-75.24686,"(42.54813, -75.24686)"
Herkimer,Exeter Park Produce and Garlic Farm Stand,"147 South Rd West Winfield, close to intersection of Route 51",147 South Road,West Winfield,NY,13491,David or Cynthia Ball,3159823589,http://www.exeterparkproduceandgarlic.com,Daily 10am-6pm,June 1-October 16,M,Y,N,N,Y,42.83092,-75.1367,"(42.83092, -75.1367)"
Orange,Tuxedo Farmers' Market,"Tuxedo Train Station, 470 Rt. 17N",270 State Route 17,Tuxedo,NY,10987,Lorraine Barbarash,8453251278,http://www.tuxedofarmersmarket.com,Sat 9am-2pm,June 11-October 29,M,Y,N,N,Y,41.19447,-74.18447,"(41.19447, -74.18447)"
Putnam,Cold Spring Farmers' Market,Boscobel House & Gardens  1601 Rt 9D Garrison,1601 State Route 9D,Garrison,NY,10516,Colin Wright,9179570695,http://www.csfarmmarket.org,Sat  8:30am-1pm,Year-round,YR,N,Y,N,Y,41.41403,-73.93809,"(41.41403, -73.93809)"
Monroe,Curbside Market-Phillips Village,100 Krieger Rd Webster,100 Krieger Rd.,Webster,NY,14580,Camille Verbofsky,5854135077,http://www.foodlinkny.org,Sat 2pm-2:45pm,Year-round,YR,Y,Y,N,Y,43.20943,-77.4189,"(43.20943, -77.4189)"
Allegany,Alfred Farmers' Market,3 South Main St.,3 South Main Street,Alfred,NY,14802,Amanda Khodarkavskaya,6075878834,http://www.alfredfarmersmarket.com,Sunday  11am-3pm,June 12-October 30,M,Y,Y,N,Y,42.25359,-77.79036,"(42.25359, -77.79036)"
Erie,Dirt Rich Farm Stand,12318 Springville Boston Road,12318 Springville Boston Road,Springville,NY,14141,Laura Colligan,7163925541,http://dirtrichcsa.com,Daily 7am-7pm,June 1 -November 1,M,N,N,N,Y,42.5422,-78.67584,"(42.5422, -78.67584)"
Franklin,JCEO MM-Citizen Advocates,125 Finney Blvd Malone,125 Finney Blvd,Malone,NY,12953,Robert King,5183194028,http://www.jceo.org,Fri 10am-11:30am,June 1-September 30,M,Y,Y,N,Y,44.84193,-74.30111,"(44.84193, -74.30111)"
Bronx,BronxWorks Farm Stand,1130 Grand Concourse,1130 Grand Concourse,Bronx,NY,10456,Rachel Gill,7185083156,,Thu 10am-4pm,July 7-November 17,M,Y,Y,N,Y,40.83256,-73.9192,"(40.83256, -73.9192)"
Clinton,JCEO MM-Ellenburg Center Senior Ctr,5538 Old State Rd Ellenburg Center,5538 Old State Rd,Ellenburg Center,NY,12934,Robert King,5183194028,http://www.jceo.org,Mon 12:10pm-2pm,June 1-September 30,M,Y,Y,N,Y,44.89508,-73.87197,"(44.89508, -73.87197)"
Rockland,Cropsey Community Farm Stand,220 South Little Tor Rd New City,220 South Little Tor Rd,New City,NY,10956,Sophie Vranian,8456343167,http://www.rocklandfarm.org,"Fri 4pm-6pm, Sat 9am-1pm",July 11-October 21,M,Y,N,N,Y,41.13216,-74.0019,"(41.13216, -74.0019)"
Kings,Seeds in the Middle Farm Stand Ocean Hill,2163 Dean Street,2163 Dean Street,Brooklyn,NY,11233,Nancie Katz,9176973745,http://seedsinthemiddle.org,Wednesday 12:30pm-3:00pm,Year-round,YR,N,Y,N,Y,40.67524,-73.91536,"(40.67524, -73.91536)"
Westchester,Pleasantville Farmers' Market,"Memorial Plaza parking lot, off Manville Rd. next to Train Station",Manville Rd and Wheeler Ave,Pleasantville,NY,10570,Steven Bates,9142054545,http://www.pleasantvillefarmersmarket.org,Saturday  8:30am-1pm,Year-round,YR,N,Y,N,Y,41.13526,-73.79218,"(41.13526, -73.79218)"
Schenectady,Buhrmaster Farm Stand,189 Saratoga Rd  Scotia,189 Saratoga Road,Scotia,NY,12302,Keith Buhrmaster,5183995931,http://www.buhrmasterfarms.com,Daily  9am-6pm,May 1-December 24,M/X,N,N,N,Y,42.86538,-73.93288,"(42.86538, -73.93288)"
Monroe,Brockport Farmers' Market,Market St. off Main St. Brockport,Main St and Market St,Brockport,NY,14420,Charlene Veltz,5857503382,http://www.brockportny.org/community/farmers-market,Sun 8am-1pm,June 19-October 30,M,Y,N,N,Y,43.21556,-77.9385,"(43.21556, -77.9385)"
Herkimer,Old Forge Farmers' Market,201 North St (George Hiltebrant Rec Center Parking Lot),Crosby Blvd and Park Ave,Old Forge,NY,13420,Robin Hill,3153693353,http://www.cap-21.org,Fri 1pm-5pm,June 17-October 7,M,Y,N,N,Y,43.70893,-74.97286,"(43.70893, -74.97286)"
Niagara,Lockport Community Farmers' Market,57 Canal Street,57 Canal Street,Lockport,NY,14094,Grace Platt,7164340212,http://www.lockportcommunitymarket.com,"Saturday  9am-2pm  , Wednesday  2pm-6pm",June 4-October 22,M,Y,Y,N,Y,43.1705,-78.694,"(43.1705, -78.694)"
Cayuga,Auburn Tue Farmers' Co-op Market,96 State St Curley's Restaurant Pkg Lot,96 State Street,Auburn,NY,13021,Mark Soper,3157048609,http://www.auburnfarmerscoopmarketinc.com,Tue 7am-2pm,June 2-October 29,M,Y,Y,N,Y,42.93401,-76.57007,"(42.93401, -76.57007)"
