County,License Number,Operation Type,Nursery Size,Greenhouse Size,Trade Name,Owner Name,Business Phone,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Georeference
YATES,646292,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",WAYNE S MARTIN,WAYNE MARTIN,585-526-6240,391,PRE EMPTION RD,,,PENN YAN,NY,14527,POINT (-77.013996 42.747435)
CLINTON,96699,Nursery Stock Only,10 Acres or Less,,PRAYS MARKET GROWER,PRAY RONALD,518-834-9150,391,ROUTE 9N,,,KEESEVILLE,NY,12944,POINT (-73.50788 44.493708)
DELAWARE,644480,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",RUSSELLS PRODUCE,RENWICKS RUSSELL,607-865-4018,4919,COUNTY HIGHWAY 21,,,WALTON,NY,13856,POINT (-75.14106 42.244943000000006)
ERIE,645453,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",DIRTY NAILS NURSERY,GREGORY A. ROZBICKI,716-717-5524,1210,LAMBERT DRIVE,,,ALDEN,NY,14004,POINT (-78.520026 42.894403)
SUFFOLK,475425,Nursery Stock Only,10 Acres or Less,,OWEN BROTHERS LANDSCAPE DESIGN,OWEN BROTHERS LANDSCAPING DESIGN,631-369-5752,2090,SOUND AVE,,,BAITING HOLLOW,NY,11933,POINT (-72.75846 40.956141)
WASHINGTON,535491,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",RIVER 'RANGEMENTS,BAILEY DEBORAH J,518-5314113,40,BROPHY RD,,,GREENWICH,NY,12834,POINT (-73.432083 43.101922)
SULLIVAN,645024,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",PINE RIVER BLOOMS,NYNEEKA NORBURY,845-888-0101,424,YANKEE LAKE RD,,,WURTSBORO,NY,12790,POINT (-74.56227 41.577328)
RENSSELAER,385408,Nursery Stock Only,11-100 Acres,,SARATOGA SOD FARM INC,SARATOGA SOD FARM INC,518-664-5038,4064,RIVER ROAD,,,SCHAGHTICOKE,NY,12154,POINT (-73.642144 42.937818)
WAYNE,646269,Nursery Stock Only,10 Acres or Less,,JOSEPH P MOLL AND SONS PLANT COMPANY LLC,JOSEPH P MOLL,315-576-6952,4042,RIDGE RD,,,WILLIAMSON,NY,14589,POINT (-77.188925 43.223671)
SUFFOLK,476762,Nursery Stock Only,11-100 Acres,,DELEA LEASING CORP  DBA DELEA SOD FARMS,DELEA LEASING CORP DBA DELEA SOD FARMS,631-368-8022,,MANOR LN & SOUND AVE CHICHANOW,,,JAMESPORT,NY,11947,POINT (-72.586562 40.947229)
SUFFOLK,474751,Nursery Stock Only,10 Acres or Less,,MATTS TREE FARM & LNDSC,MARPLE MATT,631-875-1465,309,WEEKS AVENUE,,,MANORVILLE,NY,11949,POINT (-72.841588 40.836732)
ERIE,140081,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",TOMS THUMB LLC,WNEK MARJORIE,716-537-9590,13051,WHITNEY ROAD,,,HOLLAND,NY,14080,POINT (-78.499649 42.660185)
NIAGARA,645396,Greenhouse Stock Only,,"20,001 SqFt of Glass or More",ROBINSON FARMS,GREGORY ROBINSON,716-622-0485,3677,NORTH RIDGE ROAD,,,LOCKPORT,NY,14094,POINT (-78.829073 43.213069000000004)
MONROE,262156,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",KITTELBERGER FLORISTS INC,KITTELBERGER FLORISTS INC,585-872-1823,263,NORTH AVENUE,,,WEBSTER,NY,14580,POINT (-77.430014 43.219431)
CAYUGA,644120,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",MARY BURTLESS,MARY BURTLESS,315-252-7048,1415,WEST GENESEE ST RD,,,AUBURN,NY,13021,POINT (-76.646794 42.917072)
CHAUTAUQUA,643693,Nursery Stock Only,101 Acres or More,,DOUBLE A VINEYARDS INC,DENNIS & SUE RAK,716-672-8493,,BENNETT STATE RD,,,SILVER CREEK,NY,14136,POINT (-79.16776600000001 42.526680000000006)
DUTCHESS,646103,Nursery Stock Only,10 Acres or Less,,TWIN BROOKS GARDEN CTR,DENNIS GENDRON,845-494-6399,3424,FRANKLIN AVENUE,,,MILLBROOK,NY,12545,POINT (-73.685425 41.790574)
CAYUGA,55753,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",DARATT FARMS,DARATT RANDALL C,315-626-2770,1681,HALL ROAD,,,CATO,NY,13033,POINT (-76.62781 43.207874)
YATES,645806,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",GLENN & PAULINE MARTIN,GLENN AND PAULINE MARTIN,315-536-3116,2050,SECOND MILO ROAD,,,PENN YAN,NY,14527,POINT (-77.043987 42.614685)
COLUMBIA,102344,Combined Nursery and Greenhouse,11-100 Acres,"2,000 SqFt of Glass or Less",MAPLE LANE NURSERY,ASSOCIATED FRUIT GROWERS INC,518-758-7677,3025,ROUTE 9,,,VALATIE,NY,12184,POINT (-73.68734 42.433036)
TIOGA,644361,Nursery Stock Only,10 Acres or Less,,FOREVERGREEN FARMSRUS INC,FOREVERGREEN FARMSRUS INC,607-227-3500,491,FAIRFIELD RD,,,NEWARK VALLEY,NY,13811,POINT (-76.271948 42.223529)
SUFFOLK,645289,Nursery Stock Only,10 Acres or Less,,NORTH FORK NATIVE PLANTS INC,MATTHEW G. DALY,631-298-6571,345,SOUND AVENUE,,,MATTITUCK,NY,11952,POINT (-72.580732 40.98538)
WAYNE,542023,Nursery Stock Only,11-100 Acres,,URTZS FARMS INC,URTZS EVERGREENS INC,315-597-6121,,COLE ROAD,,,PALMYRA,NY,14522,POINT (-77.218837 43.05966)
BROOME,644208,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",RENAISSANCE FLORAL GALLERY,KEN HAVENSTEIN,607-349-2049,199,MAIN STREET,,,BINGHAMTON,NY,13905,POINT (-75.93275 42.104628)
ERIE,140904,Combined Nursery and Greenhouse,11-100 Acres,"2,001-20,000 SqFt of Glass",MURRAY BROTHERS NURSERIES INC,MURRAY BROS NURS INC,716-662-3860,4735,TRANSIT ROAD,,,ORCHARD PARK,NY,14127,POINT (-78.696888 42.755267)
SUFFOLK,474229,Nursery Stock Only,11-100 Acres,,WHITMAN NURSERIES INC,WHITMAN NURSERIES INC,631-722-3000,1017,MAIN ROAD ROUTE 25,,,AQUEBOGUE,NY,11931,POINT (-72.605116 40.947675)
WESTCHESTER,645596,Combined Nursery and Greenhouse,,"2,001-20,000 SqFt of Glass",WESTCHESTER GREENHOUSES AND FARM,JOSEPH CHIOCCHI,914-469-4667,332,WEST HARTSDALE AVENUE,,,HARTSDALE,NY,10530,POINT (-73.808624 41.028309)
SUFFOLK,470055,Combined Nursery and Greenhouse,10 Acres or Less,"20,001 SqFt of Glass or More",DAISY GARDEN CORP,DAISY GARDEN CORPORATION,631-363-2708,18,PARK AVENUE,,,BLUE POINT,NY,11715,POINT (-73.03458 40.762855)
CHENANGO,81206,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",DARK HOLLOW FARMS,LUBERGER CHARLES,607-627-6582,686,COUNTY ROAD 21,,,SMYRNA,NY,13464,POINT (-75.57505 42.651234)
YATES,574557,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",PINE HILL GREENHOUSE,ZIMMERMAN NOAH & BERTHA,315-536-4032,1919,HOYT ROAD,,,PENN YAN,NY,14527,POINT (-77.035294 42.57845)
CLINTON,90907,Nursery Stock Only,11-100 Acres,,ADIRONDACK TREE COVELS TREE FARM & NURSERY,COVEL DONALD E,518-643-8723,842,MANNIX,,,PERU,NY,12972,POINT (-73.615012 44.587583)
CHAUTAUQUA,645799,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",BYLER'S GREENHOUSE,DAN & VERNA BYLEE,,5844,DEAN ROAD,,,DEWITTVILLE,NY,14728,POINT (-79.437471 42.32353200000001)
SUFFOLK,470708,Nursery Stock Only,11-100 Acres,,VERDERBER LANDSCAPE NURSERY INC.,VERDERBERS LANDSCAPE NURSERY INC,631-722-4388,459,ROUTE 25,,,AQUEBOGUE,NY,11931,
GREENE,646239,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",SMITTY'S NURSERY AND LANDSCAPE INC,ROBERT AND LESLIE SMITH,518-734-3489,4681,STATE ROUTE 23,,,WINDHAM,NY,12496,POINT (-74.199519 42.304706)
TIOGA,645893,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",DAVIS STELLA,DAVIS STELLA,607-765-2799,3,MATSON ROAD,,,RICHFORD,NY,13835,
ERIE,646092,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",PUT A PLANT ON IT,JOHANNA DOMINGUEZ,716-510-4834,715,ELMWOOD AVENUE,,,BUFFALO,NY,14222,POINT (-78.877043 42.916701)
JEFFERSON,220134,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",PERCH RIVER GARDENS,DEVINE SUZANNE L,315-782-2329,27712,COUNTY ROUTE 54,,,DEXTER,NY,13634,POINT (-76.00822000000001 44.068295)
SUFFOLK,473753,Combined Nursery and Greenhouse,11-100 Acres,"20,001 SqFt of Glass or More",EAST COAST NURSERIES,BALLATO KENNETH R,631-727-8887,301,REEVES AVENUE,,,RIVERHEAD,NY,11901,POINT (-72.703812 40.949591)
ERIE,141190,Nursery Stock Only,10 Acres or Less,,BRANCHES NURSERY THE,JEDRYSIK LINDA C,716-689-6233,3271,MILLERSPORT HIGHWAY,,,GETZVILLE,NY,14068,POINT (-78.750603 43.032084)
RENSSELAER,645214,Combined Nursery and Greenhouse,101 Acres or More,"2,001-20,000 SqFt of Glass",ELHANNON NURSERY INC,ELHANNON NURSERY INC,518-686-5553,,ROUTE 22 SOUTH SIDE,,,HOOSICK,NY,12089,POINT (-73.34729 42.889378)
ONTARIO,644407,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",CHESHIRE FARMACY,"NOVAKOWSKI, MICHAEL",585-260-5855,3434,MIDDLE CHESHIRE RD,,,CANANDAIGUA,NY,14424,POINT (-77.293017 42.863671)
CORTLAND,110833,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",DAVES VEGGIES & GREENHOUSES,ROOT DAVE,607-543-0226,5178,NYS RTE 41,,,HOMER,NY,13077,
CATTARAUGUS,644411,Nursery Stock Only,11-100 Acres,,NATURAL LANDWORKS,NATURAL LANDWORKS - SCHEENE NURS,716-537-2927,,KELLER RD,,,DELEVAN,NY,14042,POINT (-78.47969 42.470503)
RICHMOND,641455,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",WIESNER BROS NURSERY INC,WIESNER BROS NURSERY INC,718-761-5141,2402,VICTORY BLVD,,,STATEN ISLAND,NY,10314,POINT (-74.143942 40.610757)
JEFFERSON,225129,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",GRAYS FLOWER SHOP INC,GRAYS FLOWER SHOP INC,315-788-8441,1605,STATE STREET,,,WATERTOWN,NY,13601,POINT (-75.884156 43.968067)
DUTCHESS,135892,Nursery Stock Only,10 Acres or Less,,BILMAR NURSERIES INC,BILMAR NURSERIES INC,845-635-3206,,ROMBOUT ROAD,,,LAGRANGEVILLE,NY,12540,POINT (-73.741004 41.661444)
ALBANY,17070,Greenhouse Stock Only,,"20,001 SqFt of Glass or More",HILLARDS GREENHOUSE,RAY C LYON,518-785-6775,323,WOLF ROAD,,,LATHAM,NY,12110,POINT (-73.791365 42.737119)
MADISON,645384,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",LUCI'S HILLSIDE FARM,CINDY DEGROAT,315-877-3850,6058,ROCKS ROAD,,,MUNNSVILLE,NY,13409,POINT (-75.604417 42.922922)
OTSEGO,360957,Nursery Stock Only,10 Acres or Less,,PERENNIAL FIELD THE,RICE-MITCHELL RUBY,607-353-2106,25,MAIN STREET,,,OTEGO,NY,13825,POINT (-75.196811 42.383713)
ALBANY,17147,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",ORLOPS GREENHOUSE,"ORLOP NANCY, DICKERSHAID MATT",518-785-6313,4070,RIVER ROAD,,,SCHENECTADY,NY,12309,POINT (-73.817022 42.77244)
DUTCHESS,644651,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",SONOFABEE FARM,JON RUTGERSON,914-475-4409,6269,ROUTE 9,,,RHINEBECK,NY,12572,POINT (-73.90869 41.919425)
STEUBEN,460952,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",FORD FARMS,FORD MELISSA & LINWOOD,607-329-6947,8385,CREEKSIDE DRIVE,,,SAVONA,NY,14879,POINT (-77.209013 42.291917)
OTSEGO,645777,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",WEAVERS FARM MARKET,DANIEL R WEAVER,607-263-2030,1272,EAST SIDE ROAD,,,MORRIS,NY,13808,POINT (-75.245679 42.533735)
ONEIDA,644409,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",TERRA DOLCE FARM & GREENHOUSE,KELLY MICHAEL & ERICA,315-868-2104,8459,NEW FLOYD RD,,,ROME,NY,13440,POINT (-75.32833 43.219858)
GENESEE,187295,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",TWIN PINES GREENHOUSES,MARTIN PHARES & MARY ANN,585-343-4529,8975,WORTENDYKE ROAD,,,BATAVIA,NY,14020,POINT (-78.259512 42.97903)
MONROE,645687,Greenhouse Stock Only,,"20,001 SqFt of Glass or More",THE GARDEN FACTORY INC.,ROBERT L MARTELL,585-247-6236,2126,BUFFALO ROAD,,,ROCHESTER,NY,14624,POINT (-77.708132 43.147915)
BROOME,646030,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",MONUMENT MOUNTAIN FARMS LLC,"FLOYD A BRONSON II, JERALD BRONSON & FLO",607-745-2166,144,THOMPSON ROAD,,,WINDSOR,NY,13865,POINT (-75.709073 42.111798)
ST. LAWRENCE,644012,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",CHERIE WHITTEN,CHERIE WHITTEN,315-328-5559,1101,CR 49,,,WINTHROP,NY,13697,
MADISON,250352,Nursery Stock Only,11-100 Acres,,CRITZ FARMS INC,CRITZ FARMS INC,315-662-3355,3232,RIPPLETON ROAD PO BOX 29,,,CAZENOVIA,NY,13035,POINT (-75.874842 42.881991)
SARATOGA,410571,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",JOHN OTREMBIAK,OTREMBIAK JOHN,518-584-2299,23,NORTH MILTON ROAD,,,SARATOGA SPRINGS,NY,12866,POINT (-73.865025 43.080002)
GENESEE,184345,Nursery Stock Only,11-100 Acres,,BATAVIA TURF LLC,BATAVIA TURF LLC,585-548-2552,7939,BANK STREET ROAD,,,BATAVIA,NY,14020,POINT (-78.155055 43.02737)
RENSSELAER,644674,Nursery Stock Only,10 Acres or Less,,CAPITAL NATIVE PLANTS,RHONDA RUMSEY VAN HEUVELN,518-271-0184,13,WOODROW CT,,,TROY,NY,12180,POINT (-73.66147300000002 42.739417)
ALLEGANY,646041,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",LADYBUG FARM,RICHARD MONACO,407-219-1658,24,WILLETS AVENUE,,,BELMONT,NY,14813,POINT (-78.038582 42.225426)
SARATOGA,413086,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",TRANKA JOSEPH & SON FLORIST,TRANKA JOSEPH AND NELLIE,518-885-5410,1602,AMSTERDAM ROAD,RD 1,,BALLSTON SPA,NY,12020,POINT (-73.899708 42.996552)
ONONDAGA,310977,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",DELANEY FARMS,DELANEY DAVID A,315-469-1668,4097,WEST SENECA TURNPIKE,,,SYRACUSE,NY,13215,POINT (-76.230317 42.992441)
SARATOGA,411838,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",PFM BONSAI,MUTH PAULINE,518-882-1039,7,WESTERN AVENUE,,,WEST CHARLTON,NY,12010,POINT (-74.030856 42.959257)
ULSTER,645810,Greenhouse Stock Only,,,CARADONNA FARMS,LINDA CARADONNA,845-234-3608,1394,ROUTE 9W,,,MARLBORO,NY,12542,POINT (-73.967704 41.610759)
TOMPKINS,505560,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",DER ROSENMEISTER,GINENTHAL LEON,607-351-1336,304,SEVEN MILE DRIVE,,,ITHACA,NY,14850,POINT (-76.538751 42.421371)
TIOGA,490400,Greenhouse Stock Only,,"20,001 SqFt of Glass or More",IRON KETTLE FARM,JACKSON EDWARD/BRIAN/BONNIE,607-659-7707,707,OWEGO ROAD/RT 96,,,CANDOR,NY,13743,
SCHENECTADY,645861,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",BIOSOIL FARM INC,CHAD CURRIN,518-344-4920,204,GLENVILLE INDUSTRIAL PARK,BUILDING 204,,SCHENECTADY,NY,12302,
MONTGOMERY,645824,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",SHERRY CROUSE,SHERRY CROUSE,518-844-6266,6628,ROUTE 5,,,FORT PLAIN,NY,13339,POINT (-74.620316 42.950814)
ONTARIO,327303,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",GOOD EARTH GREENHOUSE,SAUERHAFER TERRI,585-500-5744,877,LARUE ROAD,,,CLIFTON SPRINGS,NY,14432,POINT (-77.159085 42.995471)
YATES,645725,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",SHIRK NATHANIEL & ARLENE,NATHANIEL & ARLENE SHIRK,607-243-7399,1864,ROUTE 230,,,DUNDEE,NY,14837,POINT (-77.030457 42.516316)
ALBANY,14782,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",GOOD-LIFE GARDENS,FARFIELD KAREN,518-482-8203,60,WELLINGTON AVENUE,,,ALBANY,NY,12203,POINT (-73.819965 42.670063)
LEWIS,645313,Nursery Stock Only,10 Acres or Less,,BLACK RIVER GREENERY,"JOHNATHAN R., ALISHIA F. AND JOY L. ZEHR",315-377-2287,7478,BELFORT ROAD-,GOODS COUNTRY STORE,,CROGHAN,NY,13327,POINT (-75.336712 43.924163)
POTTER,645585,Nursery Stock Only,10 Acres or Less,,BLUE MARBLE FARM,LISA WERNER,,2145,DOGTOWN ROAD,,,GENESEE,PA,16923,POINT (-77.939086 41.979056)
ERIE,145379,Nursery Stock Only,11-100 Acres,,SCHICHTELS NURSERY INC,SCHICHTELS NURSERY INC,716-592-9383,,JOHNSON ROAD,,,SARDINIA,NY,14134,POINT (-78.514315 42.533721)
ONEIDA,644325,Nursery Stock Only,10 Acres or Less,,MAINTENANCE MAN LANDSCAPING INC,KISTNER TED,315-363-7225,4785,STATE ROUTE 31,,,VERNON,NY,13476,POINT (-75.54893300000002 43.094092)
ORANGE,330091,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",SLEEPY HILLS ORCHARD,KING THERESE,845-726-3797,1328,ROUTE 284,,,JOHNSON,NY,10933,POINT (-74.506841 41.357399)
ONEIDA,644547,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",TYCZINSKI FARMS AND GREENHOUSES,ALICJA AND JOHN TACZINSKI,315-339-3030,6154,MUCK ROAD,,,ROME,NY,13440,POINT (-75.480791 43.204994)
BROOME,645869,Nursery Stock Only,10 Acres or Less,,KOKEDAMA FLORA,JASMINE MCAVOY,607-237-3065,886,NOWLAN ROAD,,,PORT CRANE,NY,13833,POINT (-75.813594 42.153625)
OTSEGO,646079,Nursery Stock Only,11-100 Acres,,PASQUALE TEDESCO FARM,PASQUALE TEDESCO,914-468-6157,3472,COUNTY ROUTE 16,,,HARTWICK,NY,13348,POINT (-75.039443 42.759555)
SUFFOLK,471657,Nursery Stock Only,11-100 Acres,,MKZ FARMS LLC,ZAWESKI MARK AND KEN,631-722-2241,506,CHURCH LANE,,,JAMESPORT,NY,11947,POINT (-72.618076 40.963772)
ULSTER,515271,Nursery Stock Only,101 Acres or More,,ROSEDALE NURSERIES INC,ROSEDALE NURSERIES INC,845-255-8874,542,SAND HILL ROAD,,,GARDINER,NY,12525,POINT (-74.16446700000002 41.656357)
SUFFOLK,470976,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",TRIMBLES OF CORCHAUG NRSY LTD,TRIMBLES OF CORCHAUG NRSY LTD,631-734-6494,20985,MAIN ROAD,,,CUTCHOGUE,NY,11935,POINT (-72.50625 40.999189)
SUFFOLK,644774,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",LUMBER AND SALT,JOHN MAZUR III,917-687-0063,1291,MAIN ROAD,,,JAMESPORT,NY,11947,POINT (-72.594019 40.947679)
ALBANY,11517,Nursery Stock Only,10 Acres or Less,,KRUMKILL NURSERIES INC,KRUMKILL NURSERIES INC,518-459-3246,927,KRUMKILL ROAD,,,SLINGERLANDS,NY,12159,POINT (-73.888194 42.664063000000006)
ERIE,141492,Greenhouse Stock Only,,"20,001 SqFt of Glass or More",AMOS ZITTEL &SONS INC,ZITTEL AMOS&SONS INC,716-649-6340,3275,WEBSTER RD,,,EDEN,NY,14057,POINT (-78.866765 42.685212)
ORANGE,644514,Nursery Stock Only,10 Acres or Less,,MR. MARIUSZ KURYLO,MR. MARIUSZ KURYLO,718-813-7894,100,OHAIRE ROAD,,,MIDDLETOWN,NY,10941,POINT (-74.308699 41.474788)
NIAGARA,646174,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",LOCAL ROOTS FARM,GERARD AND KRISTI WINQUIST,716-870-6584,5328,W LAKE RD,,,BURT,NY,14028,POINT (-78.750141 43.327152)
JEFFERSON,646207,Combined Nursery and Greenhouse,10 Acres or Less,"20,001 SqFt of Glass or More",AGBOTIC PROJECT #1 LLC,"KEVIN RICHARDSON, CODY MORSE",315-771-0633,18135,COUNTY ROUTE 75,,,SACKETS HARBOR,NY,13685,POINT (-76.1105 43.930078)
BRONX,645555,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",SKY VEGETABLES BRONX LLC,ADAM SOROTA AND ROBERT FIREMAN,203-561-8445,1071,TINTON AVENUE,,,BRONX,NY,10456,POINT (-73.90179200000001 40.825969)
ESSEX,645285,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",ITS ABOUT THYME FARM,DIANE MCDONALD,518-251-5297,32,SMITH ROAD,,,OLMSTEDVILLE,NY,12857,POINT (-73.951115 43.780623)
CAYUGA,644783,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",NEW HOPE NATURALS,PENELOPE L. WELLS,315-214-1248,3716,STATE ROUTE 41A,,,MORAVIA,NY,13118,POINT (-76.346965 42.797775)
SCHOHARIE,431215,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",LANDIS GEORGE ARBORETUM,LANDIS GEORGE ARBORETUM,518-875-6935,,LAPE ROAD,PO BOX 186,,ESPERANCE,NY,12066,POINT (-74.292726 42.781219)
SUFFOLK,471400,Combined Nursery and Greenhouse,11-100 Acres,"20,001 SqFt of Glass or More",PEAT & SON CORPORATION,PEAT & SON CORPORATION,631-288-3458,32,OLD COUNTRY ROAD,,,WESTHAMPTON,NY,11977,POINT (-72.667978 40.825561)
SUFFOLK,474657,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",REEVE BRAD&LORRAINE,"REEVE BRAD & LORRAINE & SONS, INC",631-722-3077,891,MAIN ROAD,,,AQUEBOGUE,NY,11931,POINT (-72.611691 40.947392)
ONTARIO,320608,Combined Nursery and Greenhouse,11-100 Acres,"2,001-20,000 SqFt of Glass",PLANT GENETIC RESOURCES UNIT,FISK TIFFANY,315-787-2307,,NYS AGRI EXPERIMENT ST,,,GENEVA,NY,14456,POINT (-76.996769 42.847993)
ONONDAGA,312585,Combined Nursery and Greenhouse,101 Acres or More,"2,000 SqFt of Glass or Less",RED OAK NURSERIES INC,RED OAK NURSERIES INC,315-672-3055,5860,IKE DIXON ROAD,,,CAMILLUS,NY,13031,POINT (-76.350929 43.05932)
CATTARAUGUS,41633,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",FOX VALLEY GREENHOUSE,COUTURE CHARLES W,716-942-3710,5790,FOX VALLEY RD,,,WEST VALLEY,NY,14171,POINT (-78.633794 42.427701)
WESTCHESTER,645970,Nursery Stock Only,10 Acres or Less,,FOOD CURE BY EVE LLC,EVGENIYA BELOMESTNOV,516-343-7923,49,LARRIMORE ROAD,,,YONKERS,NY,10710,POINT (-73.86466500000002 40.969344)
ST. LAWRENCE,406856,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",FARRS GREENHOUSE,FARR SARAH,315-212-2634,1049,PYRITES RUSSELL ROAD,,,HERMON,NY,13652,POINT (-75.162846 44.49951)
SCHOHARIE,432150,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",STATE UNIVERSITY OF NY,TIM MARTEN,518-255-5246,,PLANT SCIENCE DEPARTMENT,,,COBLESKILL,NY,12043,POINT (-74.510607 42.69988)
CHENANGO,645894,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",MTV REALTY PARTNERS LLC,MIKE BARONE & ANTHONY AMENDOLA,607-349-0168,213,JONES PECK ROAD,,,SMYRNA,NY,13464,POINT (-75.549037 42.618892)
ONONDAGA,316414,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",ZELIAS ROBERT,ZELIAS ROBERT,315-689-3057,5967,FOWLER RD,,,JORDAN,NY,13080,POINT (-76.411171 43.062741)
NASSAU,280887,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",FALCONER S F FLST INC,FALCONER S F FLORIST INC,516-767-0866,8,SOUTH MARYLAND AVENUE,,,PORT WASHINGTON,NY,11050,POINT (-73.685746 40.830247)
KINGS,611571,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",KINGS COUNTY NURSERIES INC,KINGS COUNTY NURSERIES INC,718-493-2363,625,NEW YORK AVENUE,,,BROOKLYN,NY,11203,POINT (-73.947567 40.659231)
ONONDAGA,645517,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",FOSTER ROAD FARM,MARCIA HARRINGTON,315-303-2520,4855,FOSTER ROAD,,,ELBRIDGE,NY,13060,POINT (-76.397038 43.006194)
SARATOGA,646250,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",ALMOSTA FARM,MOLLIE KENNEDY,610-425-2583,201,GANSEVOORT RD,,,GANSEVOORT,NY,12831,POINT (-73.641768 43.223701)
ERIE,146943,Nursery Stock Only,10 Acres or Less,,SCHICHTELS NURSERY INC,SCHICHTELS NURSERY INC,716-592-9383,11410,ROUTE 39,HEITMAN FARM,,EAST CONCORD,NY,14055,POINT (-78.561375 42.513677)
ULSTER,513595,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",WILLIAMS FRUIT FARM,WILLIAMS DAVID,845-389-1700,478,RED TOP ROAD,,,HIGHLAND,NY,12528,POINT (-73.960701 41.75205)
ALLEGANY,466996,Nursery Stock Only,10 Acres or Less,,HIDDEN SPRINGS TREEFARM LLC,KRAUS KEITH A AND MICHELLE D,607-525-6456,350,SNYDER GULLY ROAD,,,ANDOVER,NY,14806,POINT (-77.746142 42.18338000000001)
