,Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference,zip
1685,United States Post Office-Peekskill,Westchester,05/11/1989,90NR02500,-73.9230828515,41.2895771441,POINT (-73.9230828515 41.2895771441),10566
1686,North Broad Street Historic District,Chenango,11/21/1978,90NR00158,-75.5244205564,42.5365551921,POINT (-75.5244205564 42.5365551921),13815
1687,Rail & Titsworth Canal Warehouse,Allegany,08/16/2000,00NR01635,-78.1259171348,42.3426669481,POINT (-78.1259171348 42.3426669481),14711
1688,Elbridge Village Historic District,Onondaga,01/24/2002,01NR01770,-76.4450218606,43.0346116984,POINT (-76.4450218606 43.0346116984),13060
1689,Plaza Hotel and Grand Army Plaza,New York,11/29/1978,90NR00921,-73.9744451157,40.7644648215,POINT (-73.9744451157 40.7644648215),10019
1690,Foster-Meeker House,Suffolk,08/26/2009,09NR05981,-72.6437666079,40.8123716716,POINT (-72.6437666079 40.8123716716),11978
1691,West Fulton Methodist Church,Schoharie,02/05/2013,12NR06391,-74.4617178118,42.5636742127,POINT (-74.4617178118 42.5636742127),12194
1692,"The Hill (Livingston, Henry W., House)(DEMOLISHED)",Columbia,02/18/1971,90NR00235,-73.7492442006,42.1767419322,POINT (-73.7492442006 42.1767419322),12534
1693,"Martin, Darwin D., House",Erie,12/30/1975,90NR01210,-78.8480737915,42.9360933305,POINT (-78.8480737915 42.9360933305),14214
1694,"Ryan, William J., Estate",Suffolk,08/09/1993,91NR00127,-73.1876687375,40.9036028857,POINT (-73.1876687375 40.9036028857),11780
1695,Church of the Holy Comforter,Dutchess,04/13/1972,90NR00371,-73.9366997949,41.706115395,POINT (-73.9366997949 41.706115395),12601
1696,Barber-Mulligan Farm,Livingston,05/19/1980,90NR01352,-77.7115156264,42.9378604128,POINT (-77.7115156264 42.9378604128),14472
1697,Dakota Apartments,New York,04/26/1972,90NR00687,-73.9761520792,40.776781577,POINT (-73.9761520792 40.776781577),10023
1698,United Methodist Church of Tioga Center,Tioga,04/01/2002,02NR01900,-76.3467796119,42.0568723136,POINT (-76.3467796119 42.0568723136),13734
1699,Old St. Peter's Church,Westchester,03/07/1973,90NR02429,-73.9002159072,41.3140142977,POINT (-73.9002159072 41.3140142977),10567
1700,Talichito,Essex,08/22/2012,12NR06358,-73.7415849112,43.8356961009,POINT (-73.7415849112 43.8356961009),12870
1701,Apthorp Apartments,New York,01/30/1978,90NR00615,-73.9808848371,40.7837555748,POINT (-73.9808848371 40.7837555748),10024
1702,Public School 15,Bronx,12/10/1981,90NR00070,-73.8306180969,40.8909442375,POINT (-73.8306180969 40.8909442375),10466
1703,Davis Field,Suffolk,01/22/2008,07NR05747,-73.0529748084,40.756900564,POINT (-73.0529748084 40.756900564),11705
1704,M'Clintock House,Seneca,08/29/1980,90NR02218,-76.8615457323,42.9053064935,POINT (-76.8615457323 42.9053064935),13165
1705,"Stanton, Elizabeth Cady, House",Seneca,10/15/1966,90NR02209,-76.7881155051,42.9126552274,POINT (-76.7881155051 42.9126552274),13148
1706,Summerfield Street Row Historic District,Queens,09/30/1983,90NR01607,-73.8971069862,40.6998540502,POINT (-73.8971069862 40.6998540502),11385
1707,State Street Houses,Kings,01/17/1980,90NR01260,-73.9876672127,40.6886995208,POINT (-73.9876672127 40.6886995208),11201
1708,Lamb's Club,New York,06/03/1982,90NR00750,-73.9845869255,40.7565026901,POINT (-73.9845869255 40.7565026901),10036
1709,Offerman Building,Kings,02/21/2017,16NR00079,-73.9848810456,40.6909679112,POINT (-73.9848810456 40.6909679112),11201
1710,Tudor City Historic District,New York,09/11/1986,92NR00295,-73.9708883909,40.7490967795,POINT (-73.9708883909 40.7490967795),10017
1711,St. John's Episcopal Church,Sullivan,11/21/2002,02NR04908,-74.6850540894,41.6535163882,POINT (-74.6850540894 41.6535163882),12701
1712,Boscobel,Putnam,11/07/1977,90NR02360,-73.9392370442,41.411674046,POINT (-73.9392370442 41.411674046),10516
1713,"Sullivan Street, Houses at 83 and 85",New York,11/17/1980,90NR00916,-74.0034572301,40.7247826695,POINT (-74.0034572301 40.7247826695),10012
1714,Young-Leach Cobblestone Farmhouse and Barn Complex,Yates,05/11/1992,92NR00315,-76.9389555716,42.6380141036,POINT (-76.9389555716 42.6380141036),14527
1715,Guilford Historic District,Chenango,,13NR06447,-75.489573745,42.4040211967,POINT (-75.489573745 42.4040211967),13780
1716,Newark Valley Municipal Building and Tappan-Spaulding Memorial Library,Tioga,11/01/2006,06NR05570,-76.1831118187,42.2230267954,POINT (-76.1831118187 42.2230267954),13811
1717,Mosher Farm Complex,Cayuga,12/12/2003,03NR05113,-76.6726888012,42.7608151195,POINT (-76.6726888012 42.7608151195),13118
1718,190th Street Subway Station (IND),New York,03/30/2005,04NR05306,-73.9342661052,40.8589797866,POINT (-73.9342661052 40.8589797866),10040
1719,Marshall House,Saratoga,08/22/2002,02NR01910,-73.5799110168,43.1113693186,POINT (-73.5799110168 43.1113693186),12871
1720,"Fifth Street, Building at 109",Nassau,11/14/1978,91NR00195,-73.6357984643,40.7222509695,POINT (-73.6357984643 40.7222509695),11530
1721,Biltmore Theater,New York,10/27/2004,04NR05239,-73.9867406508,40.7603789776,POINT (-73.9867406508 40.7603789776),10036
1722,Saddle Rock Grist Mill,Nassau,12/27/1978,90NR01948,-73.7512292411,40.7977633025,POINT (-73.7512292411 40.7977633025),11023
1723,Little Theatre,Monroe,10/04/1985,90NR01496,-77.5978974926,43.1562062278,POINT (-77.5978974926 43.1562062278),14604
1724,Kelly Round Barn,Delaware,09/29/1984,90NR00280,-74.5963399215,42.2001574659,POINT (-74.5963399215 42.2001574659),12438
1725,Church Street Historic District,Otsego,06/04/1997,97NR01192,-74.9830852766,42.8562124519,POINT (-74.9830852766 42.8562124519),13439
1726,Fort Ontario Military Reservation,Oswego,12/14/2018,15NR00105,-76.5060875244,43.4654815981,POINT (-76.5060875244 43.4654815981),13126
1727,George T. Robinson House,Jefferson,04/17/2017,16NR00074,-76.0708430928,44.2706874045,POINT (-76.0708430928 44.2706874045),13624
1728,Sherwood Equal Rights Historic District,Cayuga,02/29/2008,07NR05805,-76.6209257554,42.7617509481,POINT (-76.6209257554 42.7617509481),13026
1729,Inglewood & Thurston Historic District,Monroe,06/30/2015,15NR00006,-77.6527351338,43.1404779903,POINT (-77.6527351338 43.1404779903),14619
1730,Susquehannah Turnpike,Greene,01/02/1974,90NR00552,-74.036563703,42.3229162869,POINT (-74.036563703 42.3229162869),12413
1731,Madison Square--West Main Street Historic District,Monroe,11/03/1988,90NR01523,-77.6264804126,43.1539548974,POINT (-77.6264804126 43.1539548974),14608
1732,Skidmore House,Suffolk,,90NR03091,-73.3484862805,40.9013492569,POINT (-73.3484862805 40.9013492569),11768
1733,St. Matthew's Episcopal Church,Queens,07/25/2001,01NR01759,-73.8492241073,40.6961578033,POINT (-73.8492241073 40.6961578033),11421
1734,Trico Plant No. 1,Erie,02/02/2001,00NR01701,-78.8693072169,42.8957601935,POINT (-78.8693072169 42.8957601935),14203
1735,Morss Homestead/Federal City Homestead,Greene,09/30/1983,90NR00546,-74.3951128781,42.310825463,POINT (-74.3951128781 42.310825463),12468
1736,West Burlington Memorial Church,Otsego,01/16/2001,00NR01706,-75.1876543591,42.7070611368,POINT (-75.1876543591 42.7070611368),13315
1737,Camp Wapanachki,Ulster,11/25/1994,94NR00746,-74.2766577809,42.051943096,POINT (-74.2766577809 42.051943096),12457
1738,West Newark Congregational Church,Tioga,03/16/1998,98NR01308,-76.2356068423,42.2425005983,POINT (-76.2356068423 42.2425005983),13811
1739,Aumic House,Albany,11/10/1982,90NR01652,-74.0346437867,42.6873310574,POINT (-74.0346437867 42.6873310574),12009
1740,Van Wyck-Lefferts Tide Mill,Suffolk,06/02/1978,90NR01924,-73.4445272633,40.9001493653,POINT (-73.4445272633 40.9001493653),11724
1741,Hildreth Homestead,Herkimer,11/23/2020,20NR00010,-74.9885087554,43.1019009613,POINT (-74.9885087554 43.1019009613),13350
1742,Shushan Covered Bridge,Washington,03/08/1978,90NR02749,-73.3455435029,43.0912933166,POINT (-73.3455435029 43.0912933166),12873
1743,District School #5,Cayuga,10/10/2002,02NR04948,-76.6465378515,43.3237877972,POINT (-76.6465378515 43.3237877972),13156
1744,The Little Stone House,Oswego,03/23/2010,09NR05975,-76.225829214,43.4597353648,POINT (-76.225829214 43.4597353648),13114
1745,House at 115 South Main Street,Madison,05/23/1986,90NR01427,-75.7554164684,43.0785984029,POINT (-75.7554164684 43.0785984029),13032
1746,Colden Family Cemetery,Orange,02/09/2005,04NR05262,-74.14545346,41.5215141507,POINT (-74.14545346 41.5215141507),12575
1747,"Dunsbach, Martin, House",Albany,10/03/1985,90NR02769,-73.7568726608,42.7848830656,POINT (-73.7568726608 42.7848830656),12047
1748,Second Old School Baptist Church of Roxbury,Delaware,07/28/1999,99NR01475,-74.5957011106,42.2644706817,POINT (-74.5957011106 42.2644706817),12474
1749,Spaulding-Sidway Boathouse,Erie,05/20/1998,98NR01333,-78.9743513652,42.9699094621,POINT (-78.9743513652 42.9699094621),14072
1750,Jenkins Octagon House,Schenectady,10/11/1984,90NR02629,-74.1845577289,42.7587612662,POINT (-74.1845577289 42.7587612662),12053
1751,Church of Our Saviour,Columbia,02/14/1997,97NR01170,-73.3806196928,42.4740240585,POINT (-73.3806196928 42.4740240585),12125
1752,"Thompson, Robert A., House",Orange,01/30/1998,97NR01194,-74.3415108201,41.5600139002,POINT (-74.3415108201 41.5600139002),12566
1753,"Oakley, John, House",Suffolk,11/06/1985,90NR01865,-73.4249112815,40.8089453606,POINT (-73.4249112815 40.8089453606),11743
1754,Clare Town Hall,St. Lawrence,12/06/2004,02NR05025,-75.0553707878,44.4350390549,POINT (-75.0553707878 44.4350390549),13684
1755,Walter Hand House,Orange,03/08/1996,90NR03060,-74.0638477058,41.4059292335,POINT (-74.0638477058 41.4059292335),12518
1756,Hamlin Park Historic District,Erie,07/03/2013,13NR06421,-78.8489852707,42.919881322,POINT (-78.8489852707 42.919881322),14208
1757,Loudon Road Historic District,Albany,10/04/1979,90NR02782,-73.7541453432,42.7008297514,POINT (-73.7541453432 42.7008297514),12211
1758,Fonda House,Albany,04/21/2004,03NR05108,-73.7268766198,42.7694051827,POINT (-73.7268766198 42.7694051827),12047
1759,St. James Chapel (All Souls Episcopal Church),Suffolk,06/16/2000,97NR01246,-73.1467342105,40.915800519,POINT (-73.1467342105 40.915800519),11790
1760,322 Albany Avenue,Ulster,11/15/2002,02NR04931,-74.0035541781,41.9372752171,POINT (-74.0035541781 41.9372752171),12401
1761,"Harmon, William, House",Livingston,08/31/1989,90NR01398,-77.6133804838,42.9065572129,POINT (-77.6133804838 42.9065572129),14485
1762,Carll House,Suffolk,09/26/1985,90NR01809,-73.34101116,40.8136698992,POINT (-73.34101116 40.8136698992),11746
1763,"Schoonmaker, C. K., Stone House",Ulster,02/21/1997,96NR01072,-74.2694574893,41.8092960684,POINT (-74.2694574893 41.8092960684),12404
1764,Center Square/Hudson-Park Historic District,Albany,03/18/1980,90NR00012,-73.7648943953,42.6523437924,POINT (-73.7648943953 42.6523437924),12210
1765,Old Courthouse Complex,Montgomery,08/05/1982,90NR01550,-74.3803737755,42.9577267964,POINT (-74.3803737755 42.9577267964),12068
1766,Ulster and Delaware Railroad Depot and Mill Complex,Delaware,04/18/2003,02NR04965,-74.5694435237,42.2845508871,POINT (-74.5694435237 42.2845508871),12474
1767,Douglaston Historic District,Queens,09/01/2005,93NR00442,-73.7499770768,40.7764027205,POINT (-73.7499770768 40.7764027205),11363
1768,Public School 35,New York,10/27/1980,90NR00885,-73.9658990768,40.7548845394,POINT (-73.9658990768 40.7548845394),10022
1769,Seneca Falls Village Historic District,Seneca,04/05/1991,90NR03294,-76.7941272115,42.9136631398,POINT (-76.7941272115 42.9136631398),13148
1770,South Congregational Church,Kings,11/04/1982,90NR01333,-73.9965351898,40.6820596113,POINT (-73.9965351898 40.6820596113),11231
1771,Mill Street-North Clover Street Historic District,Dutchess,02/07/1972,90NR00369,-73.9329580216,41.7067675907,POINT (-73.9329580216 41.7067675907),12601
1772,Jericho Historic District,Suffolk,07/21/1988,90NR01937,-72.2162171378,40.951522513,POINT (-72.2162171378 40.951522513),11937
1773,St. AndrewΓÇÖs Episcopal Church,Erie,06/09/2010,10NR06090,-78.827676571,42.9489466556,POINT (-78.827676571 42.9489466556),14214
1774,Seville Hotel,New York,02/24/2005,04NR05318,-73.9858011424,40.7445328902,POINT (-73.9858011424 40.7445328902),10016
1775,Old Stone House of Brooklyn,Kings,09/19/2012,11NR06264,-73.9845744623,40.6730019366,POINT (-73.9845744623 40.6730019366),11215
1776,White Store Church and Evergreen Cemetery,Chenango,02/10/1995,94NR00742,-75.4061495474,42.4836521938,POINT (-75.4061495474 42.4836521938),13843
1777,Elmendorf Reformed Church,New York,04/27/2010,09NR06085,-73.9382389934,40.8016735694,POINT (-73.9382389934 40.8016735694),10035
1778,First Congregational and Presbyterian Society Church of Westport,Essex,12/19/1988,90NR00495,-73.4587867033,44.2306400557,POINT (-73.4587867033 44.2306400557),12993
1779,Huguenot Street Historic District,Ulster,10/15/1966,90NR01111,-74.0881528502,41.7515038051,POINT (-74.0881528502 41.7515038051),12561
1780,"McComb, Peter K. and Karen R., House",Dutchess,08/12/2009,07NR05697,-73.8876078231,41.6673201586,POINT (-73.8876078231 41.6673201586),12603
1781,St. Andrew's Episcopal Church & Rectory,Orange,06/13/2008,08NR05853,-74.1903498646,41.5601319776,POINT (-74.1903498646 41.5601319776),12586
1782,Frankfort Town Hall,Herkimer,12/09/1999,99NR01442,-75.0733475517,43.0394913326,POINT (-75.0733475517 43.0394913326),13340
1783,Old Grolier Club,New York,04/23/1980,90NR00678,-73.9832906503,40.7464715737,POINT (-73.9832906503 40.7464715737),10016
1784,"Chamberlain, Daniel, House",Tioga,12/15/1997,97NR01209,-76.1744788857,42.2729196408,POINT (-76.1744788857 42.2729196408),13736
1785,Park Plaza Apartments,Bronx,06/03/1982,90NR00043,-73.9266485371,40.8317979847,POINT (-73.9266485371 40.8317979847),10452
1786,Empire Building,New York,08/28/1998,94NR00579,-74.0125115583,40.7075003345,POINT (-74.0125115583 40.7075003345),10275
1787,West High School,Cayuga,08/18/2017,15NR00143,-76.5787697801,42.926685085,POINT (-76.5787697801 42.926685085),13021
1788,Black Watch Library,Essex,11/15/1988,90NR00477,-73.4253351282,43.8489422664,POINT (-73.4253351282 43.8489422664),12883
1789,Manhanset Chapel,Suffolk,08/29/1997,95NR00862,-72.335753927,41.0682143218,POINT (-72.335753927 41.0682143218),11964
1790,Altamont Historic District,Albany,11/10/1982,89NR00005,-74.0298055082,42.702123466,POINT (-74.0298055082 42.702123466),12009
1791,"Fox, Albert R., House",Rensselaer,04/25/2001,00NR01726,-73.5381486374,42.634192452,POINT (-73.5381486374 42.634192452),12018
1792,Gates Hall and Pultneyville Public Square,Wayne,03/03/2000,00NR01577,-77.1863807278,43.2796113772,POINT (-77.1863807278 43.2796113772),14589
1793,Engineering Societies' Building and Engineers' Club,New York,08/30/2007,07NR05737,-73.9837001392,40.7525638212,POINT (-73.9837001392 40.7525638212),10018
1794,Stonecrest,Westchester,01/28/2004,03NR05149,-73.727898166,41.225431872,POINT (-73.727898166 41.225431872),10549
1795,First Methodist Episcopal Church of Avon [Avon Methodist Church],Livingston,03/15/2005,04NR05347,-77.7455826354,42.9099217413,POINT (-77.7455826354 42.9099217413),14414
1796,Robert T. Coles House and Studio,Erie,08/30/2011,10NR06190,-78.8473355192,42.925102546,POINT (-78.8473355192 42.925102546),14208
1797,Hooey Cottage,Franklin,11/06/1992,90NR02980,-74.1268905948,44.3281889028,POINT (-74.1268905948 44.3281889028),12983
1798,"Booth, Evangeline, House",Westchester,02/22/2011,07NR05795,-73.7961657609,41.0224032153,POINT (-73.7961657609 41.0224032153),10530
1799,First Baptist Church of Springville,Erie,12/05/2008,08NR05917,-78.6667292789,42.5096294782,POINT (-78.6667292789 42.5096294782),14141
1800,MacDougal-Sullivan Gardens Historic District,New York,06/30/1983,90NR00772,-74.0012757101,40.7284555512,POINT (-74.0012757101 40.7284555512),10012
1801,Nott Street School,Schenectady,12/29/2011,11NR06253,-73.9310740289,42.8210165074,POINT (-73.9310740289 42.8210165074),12308
1802,Innis Dye Works,Dutchess,,96NR00983,-73.9386856106,41.7087757341,POINT (-73.9386856106 41.7087757341),12601
1803,"Ball, Stephen, House",Tioga,07/02/1984,90NR02226,-76.1848307414,42.2994173917,POINT (-76.1848307414 42.2994173917),13736
1804,Space Shuttle Enterprise,New York,03/13/2013,12NR06415,-74.0018878617,40.7651762825,POINT (-74.0018878617 40.7651762825),100036
1805,First Universalist Church,Monroe,05/27/1971,90NR01470,-77.6045524844,43.1540162698,POINT (-77.6045524844 43.1540162698),14604
1806,Seneca County Courthouse Complex at Ovid,Seneca,12/12/1976,90NR02221,-76.8218672073,42.6768358671,POINT (-76.8218672073 42.6768358671),14521
1807,Shea's Buffalo Theater,Erie,05/06/1975,90NR01222,-78.873151832,42.8917705013,POINT (-78.873151832 42.8917705013),14202
1808,First Methodist Episcopal Church of ROme,Oneida,01/29/2010,09NR05984,-75.4577785349,43.2164238417,POINT (-75.4577785349 43.2164238417),13440
1809,Belvidere,Allegany,03/16/1972,90NR00020,-78.0494537658,42.2655299704,POINT (-78.0494537658 42.2655299704),14813
1810,St. Mark's Church,Lewis,08/06/1998,98NR01366,-75.3494936163,43.5810305887,POINT (-75.3494936163 43.5810305887),13433
1811,St. Luke's Episcopal Church,Nassau,02/18/1988,90NR01767,-73.6453053188,40.8469001028,POINT (-73.6453053188 40.8469001028),11579
1812,Watervliet Side Cut Locks,Albany,08/12/1971,90NR02832,-73.6978017554,42.7321303601,POINT (-73.6978017554 42.7321303601),12183
1813,First United Methodist Church (Chester Hill ME Church),Westchester,01/07/2000,99NR01566,-73.829290784,40.9186079816,POINT (-73.829290784 40.9186079816),10552
1814,"Ward, William E., House",Westchester,11/07/1976,90NR02513,-73.6671994676,41.0261672883,POINT (-73.6671994676 41.0261672883),10573
1815,United States Post Office-Canandaigua,Ontario,11/17/1988,90NR02006,-77.282400108,42.8884310719,POINT (-77.282400108 42.8884310719),14424
1816,Vischer Ferry Historic District (boundary increase),Saratoga,06/19/1997,97NR01167,-73.7899504594,42.7931471455,POINT (-73.7899504594 42.7931471455),12110-1184
1817,The John and Martinus Laraway Inn,Greene,07/17/2012,12NR06318,-74.435242423,42.31855446,POINT (-74.435242423 42.31855446),12468
1818,Jug Tavern,Westchester,06/07/1976,90NR02502,-73.8640497985,41.1448430103,POINT (-73.8640497985 41.1448430103),10562
1819,Croswell-Parsons Paper Mill Ruin,Greene,01/09/2008,07NR05725,-73.7997660109,42.4593375777,POINT (-73.7997660109 42.4593375777),12124
1820,Cazenovia Village Historic District,Madison,06/19/1986,90NR01444,-75.8590169316,42.9268240598,POINT (-75.8590169316 42.9268240598),13035
1821,"Grove Street, House at No. 13",Livingston,01/07/1999,98NR01316,-77.8770692852,42.7279715294,POINT (-77.8770692852 42.7279715294),14510
1822,"Ford, Charles, House",Jefferson,12/20/1996,96NR00957,-75.9714389388,44.1934803059,POINT (-75.9714389388 44.1934803059),13656
1823,Mariner's Temple,New York,,90NR00661,-73.9977252645,40.712974416,POINT (-73.9977252645 40.712974416),10038
1824,Trinity Church,Nassau,10/02/1986,90NR01740,-73.6447184341,40.8050254661,POINT (-73.6447184341 40.8050254661),11576
1825,Jenkins-BuBois Farm and Mill Site,Ulster,05/30/2001,01NR01791,-74.1102291747,41.6962003395,POINT (-74.1102291747 41.6962003395),12561
1826,Palisades Interstate Park,Rockland,10/15/1966,90NR02401,-73.9227770524,40.9588414527,POINT (-73.9227770524 40.9588414527),07620
1827,M/V MOHICAN,Warren,08/19/2010,98NR01365,-73.7096774224,43.4210733467,POINT (-73.7096774224 43.4210733467),12845
1828,United States Post Office-Scotia Station,Schenectady,05/11/1989,90NR02667,-73.9661901004,42.8275811623,POINT (-73.9661901004 42.8275811623),12302
1829,First Baptist Church of Ossining,Westchester,01/12/1973,90NR02501,-73.8617231071,41.161345831,POINT (-73.8617231071 41.161345831),10562
1830,William Taylor House,Niagara,12/04/2012,12NR06380,-78.476099793,43.2057846372,POINT (-78.476099793 43.2057846372),14105
1831,Union Savings Bank,Suffolk,06/11/2010,10NR06094,-73.0149779906,40.7645182568,POINT (-73.0149779906 40.7645182568),11772
1832,Hotel Broadalbin,Fulton,05/04/2011,11NR06199,-74.1992128291,43.0565757704,POINT (-74.1992128291 43.0565757704),12025
1833,Stone Farmhouse,Erie,02/01/1999,99NR01439,-78.8515540131,42.923171844,POINT (-78.8515540131 42.923171844),14208
1834,254-260 Canal Street,New York,06/07/2006,06NR05556,-74.0009686507,40.7184053121,POINT (-74.0009686507 40.7184053121),10013
1835,Saint Pauls Evangelical Lutheran Church,Dutchess,08/19/1998,98NR01301,-73.8772296127,41.9909393124,POINT (-73.8772296127 41.9909393124),12571
1836,U. S. Bullion Depository,Orange,12/02/1987,90NR02301,-73.9822397211,41.3961674284,POINT (-73.9822397211 41.3961674284),10996
1837,East Roberts Hall,Tompkins,09/24/1984,90NR02260,-76.4779418522,42.4482371806,POINT (-76.4779418522 42.4482371806),14850
1838,St. John's Protestant Episcopal Church,Westchester,07/29/1982,90NR02467,-73.899018708,40.933647464,POINT (-73.899018708 40.933647464),10701
1839,Gilbertsville Historic District (Boundary Increase),Otsego,11/04/1982,90NR02196,-75.3224201085,42.4691637902,POINT (-75.3224201085 42.4691637902),13776
1840,"49 East 80th Street, House at",New York,11/15/2007,07NR05765,-73.9610258134,40.7770060999,POINT (-73.9610258134 40.7770060999),10028
1841,Mendon Presbyterian Church,Monroe,12/23/2005,04NR05345,-77.5067461989,42.9980697288,POINT (-77.5067461989 42.9980697288),14506
1842,"Block House, The",New York,07/24/1972,90NR00792,-74.0138550705,40.6889442663,POINT (-74.0138550705 40.6889442663),10004
1843,First Lewis County Courthouse (Martinsburg Town Hall),Lewis,03/21/2001,00NR01682,-75.4684642989,43.7374334226,POINT (-75.4684642989 43.7374334226),13367
1844,Oriskany Battlefield,Oneida,11/23/1962,90NR02053,-75.3661292179,43.1773760936,POINT (-75.3661292179 43.1773760936),13424
1845,USS Croaker (SS 246),Erie,09/12/2008,08NR05869,-78.8816366391,42.8781757315,POINT (-78.8816366391 42.8781757315),14202
1846,McArthur-Martin Hexadecagon Barn,Delaware,09/29/1984,91NR00073,-74.7793448091,42.3714263364,POINT (-74.7793448091 42.3714263364),13739
1847,Halliock Inn,Suffolk,08/07/1974,90NR01883,-73.1797427598,40.8563916815,POINT (-73.1797427598 40.8563916815),11787
1848,Brick Church Complex,Rockland,09/07/1984,90NR02406,-74.064546887,41.1404326609,POINT (-74.064546887 41.1404326609),10977
1849,ZIEGELE-PHOENIX REFRIGERATION HOUSE AND OFFICE,Erie,01/17/2018,17NR00077,-78.8693732853,42.8965592912,POINT (-78.8693732853 42.8965592912),14203
1850,Spencertown Historic District,Columbia,05/25/2018,18NR00001,-73.5474947483,42.3236131946,POINT (-73.5474947483 42.3236131946),12037
1851,Pratt Homestead,Columbia,11/13/2009,09NR05990,-73.5463251472,42.3268670293,POINT (-73.5463251472 42.3268670293),12037
1852,"Blauvelt, Johannes Isaac, House",Rockland,,08NR05926,-73.9638805471,41.0769854605,POINT (-73.9638805471 41.0769854605),10913
1853,Tishman Building,Erie,02/14/2012,11NR06257,-78.8738245049,42.8862126156,POINT (-78.8738245049 42.8862126156),14203
1854,Cash-Draper House,Orange,06/26/2017,17NR00012,-74.4200539229,41.4500854195,POINT (-74.4200539229 41.4500854195),10940
1855,"Vilas, S. F., Home for Aged & Infirmed Ladies",Clinton,11/12/1982,90NR00192,-73.467321886,44.6989775049,POINT (-73.467321886 44.6989775049),12901
1856,Poppenhusen Institute,Queens,08/18/1977,90NR01582,-73.8528171861,40.7843002728,POINT (-73.8528171861 40.7843002728),11356
1857,Chemung Canal Bank Building,Chemung,06/23/1978,90NR00140,-76.8005213038,42.0887644533,POINT (-76.8005213038 42.0887644533),14901
1858,Greenpoint Historic District,Kings,09/26/1983,90NR01319,-73.9554395222,40.7292670484,POINT (-73.9554395222 40.7292670484),11222
1859,Kellerman Log Cabin,Livingston,02/01/2006,05NR05506,-77.6746357388,42.7266029155,POINT (-77.6746357388 42.7266029155),14435
1860,Stone Windmill,St. Lawrence,09/02/1982,90NR02583,-75.6475109713,44.5895491898,POINT (-75.6475109713 44.5895491898),13664
1861,"Baker, George F., Jr. and Sr. Residences",New York,06/03/1982,90NR00745,-73.9542938441,40.785015565,POINT (-73.9542938441 40.785015565),10128
1862,Entranceway at Main Street at High Park Boulevard,Erie,07/23/2009,08NR05872,-78.8004727509,42.9643509716,POINT (-78.8004727509 42.9643509716),14226
1863,Residence at 272 Albany Avenue,Ulster,10/20/2021,20NR00098,-74.0049901396,41.9360602235,POINT (-74.0049901396 41.9360602235),12401
1864,Orleans County Courthouse Historic District,Orleans,08/31/1979,90NR02011,-78.1930544649,43.2457527672,POINT (-78.1930544649 43.2457527672),14411
1865,Clapham-Stern House,Nassau,06/10/2005,05NR05432,-73.6463062648,40.8209764048,POINT (-73.6463062648 40.8209764048),11576
1866,First Presbyterian Church Complex,Cortland,03/06/2002,02NR01889,-76.177231286,42.5998669947,POINT (-76.177231286 42.5998669947),13045
1867,Bank of East Aurora,Erie,07/29/2021,20NR00054,-78.6106266903,42.76748276,POINT (-78.6106266903 42.76748276),14052
1868,Loon Lake Fire Observation Station,Franklin,12/05/2008,06NR05580,-74.1517899712,44.5582231136,POINT (-74.1517899712 44.5582231136),
1869,Nassau Brewery,Kings,10/22/2014,14NR06550,-73.9563076029,40.6772686091,POINT (-73.9563076029 40.6772686091),11238
1870,Tousley-Church House (DAR House),Orleans,02/05/2002,01NR01835,-78.1929526247,43.2525187302,POINT (-78.1929526247 43.2525187302),14411
1871,Hamden District 1 School,Delaware,12/03/2019,18NR00070,-75.0229411839,42.1681742945,POINT (-75.0229411839 42.1681742945),13856
1872,Harvard Club of New York City,New York,03/28/1980,90NR00644,-73.9811622773,40.7557073605,POINT (-73.9811622773 40.7557073605),10036
1873,"Aurora Street, House at 20",Cayuga,02/24/1995,95NR00790,-76.4232573773,42.7108834986,POINT (-76.4232573773 42.7108834986),13118
1874,St. Paul's School,Nassau,11/14/1978,91NR00239,-73.6496621173,40.7265147162,POINT (-73.6496621173 40.7265147162),11530
1875,Latimer Reef Light Station,Suffolk,07/19/2006,05NR05550,-71.9333284292,41.3045674871,POINT (-71.9333284292 41.3045674871),06378
1876,Bute-Warner-Truax Farm,Schoharie,07/25/1985,90NR02680,-74.6567796805,42.5741280639,POINT (-74.6567796805 42.5741280639),12064
1877,Jumel Terrace Historic District,New York,04/03/1973,90NR00649,-73.9388118239,40.8347827328,POINT (-73.9388118239 40.8347827328),10032
1878,Town Doctors' House and Site,Suffolk,01/05/2005,01NR01800,-72.4380329809,41.0551579807,POINT (-72.4380329809 41.0551579807),11971
1879,American Grain Complex,Erie,08/07/2012,12NR06327,-78.8641429631,42.8620544102,POINT (-78.8641429631 42.8620544102),14203
1880,West Strand Historic District,Ulster,06/28/1974,90NR01100,-73.9833108246,41.917999026,POINT (-73.9833108246 41.917999026),12401
1881,Potsdam State Normal School; 2 building complex,St. Lawrence,02/23/2015,14NR06609,-74.9809821058,44.6692376992,POINT (-74.9809821058 44.6692376992),13676
1882,"Wisner, George T., House",Orange,06/30/2005,04NR05387,-74.3239418564,41.3899942366,POINT (-74.3239418564 41.3899942366),10924
1883,Blauvelt-Cropsey Farm,Rockland,01/31/2017,16NR00095,-74.0000774662,41.132386255,POINT (-74.0000774662 41.132386255),10956
