LOCAL HEALTH UNIT,OPERATION NAME,ADDRESS,CITY,STATE,ZIP,MUNICIPALITY,COUNTY,VENDOR TYPE,CREATION DATE,LOCATION
NYC,MADDOCKS ENTERPRISES INC.,3005 41ST STREET,ASTORIA,NY,11103,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"3005 41ST STREET
ASTORIA, NY 11103
(40.763239991000034, -73.91427498999997)"
NYC,STAR SERVICE STATION INC,22820 MERRICK BOULEVARD,LAUTRELTON,NY,11413,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"22820 MERRICK BOULEVARD
LAUTRELTON, NY 11413
(40.676165009000044, -73.74180098699998)"
NYC,PLAZA DELI & GROCERY 1 GORCERY,987 RUTLAND ROAD,BROOKLYN,NY,11212,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"987 RUTLAND ROAD
BROOKLYN, NY 11212
(40.66253000000006, -73.92684499499995)"
ERIE,GOLD STAR,1065 TONAWANDA  STREET,BUFFALO,NY,14207,BUFFALO,ERIE,CONVENIENCE STORE,11/10/2020,"1065 TONAWANDA  STREET
BUFFALO, NY 14207
(42.95730800500007, -78.90747001299997)"
SENECA,BYRNE DAIRY TYRE  150583664,1344 ROUTE 414,WATERLOO,NY,13165,TYRE,SENECA,CONVENIENCE STORE,11/10/2020,"1344 ROUTE 414
WATERLOO, NY 13165
(42.96368878900006, -76.84674507499994)"
SUFFOLK,CIGARS CIGARS,203 RAILROAD AVE,SAYVILLE,NY,11782,ISLIP,SUFFOLK,TOBACCO RETAIL,11/10/2020,"203 RAILROAD AVE
SAYVILLE, NY 11782
(40.73886801500004, -73.08371203599995)"
NYC,578 RALPH SUPER DELI INC,578  RALPH AVENUE,BROOKLYN,NY,11233,BROOKLYN,NEW YORK CITY,CONVENIENCE STORE,11/10/2020,"578  RALPH AVENUE
BROOKLYN, NY 11233
(40.66939000100007, -73.92267801499997)"
WESTCHESTER,LA NUEVA PIZARELLO GROCERY INC.,235 WILLIAM STREET,PORT CHESTER,NY,10573,RYE,WESTCHESTER,GROCERY SUPERMARKET,11/10/2020,"235 WILLIAM STREET
PORT CHESTER, NY 10573
(41.00027402100005, -73.67018932199994)"
NYC,BC WIRELESS INC,218 MADISON AVENUE,NEW YORK,NY,10016,MANHATTAN,NEW YORK CITY,CONVENIENCE STORE,11/10/2020,"218 MADISON AVENUE
NEW YORK, NY 10016
(40.749220001000026, -73.98208399999999)"
MONROE,ANNIES STOP AND SHIP,2332 CULVER ROAD,ROCHESTER,NY,14609,ROCHESTER,MONROE,CONVENIENCE STORE,11/10/2020,"2332 CULVER ROAD
ROCHESTER, NY 14609
(43.18921799900005, -77.56072901099998)"
SUFFOLK,KINGS LITTLENECK C-STORE(SUNOCO),320 E. MIDDLE COUNTRY RD.,SMITHTOWN,NY,11787,SMITHTOWN,SUFFOLK,CONVENIENCE/GAS,11/10/2020,"320 E. MIDDLE COUNTRY RD.
SMITHTOWN, NY 11787
(40.85536301500008, -73.17326017299996)"
NYC,ROCHDALE JUNCTION INC,16588 BAISLEY BOULEVARD,JAMAICA,NY,11434,QUEENS,NEW YORK CITY,CONVENIENCE STORE,11/10/2020,"16588 BAISLEY BOULEVARD
JAMAICA, NY 11434
(40.67881000300008, -73.77737596299994)"
ONONDAGA,POP'S SHOP,507 WESTCOTT  STREET,SYRACUSE,NY,13210,SYRACUSE,ONONDAGA,STAND,11/10/2020,"507 WESTCOTT  STREET
SYRACUSE, NY 13210
(43.04122099800003, -76.11915297599995)"
ERIE,C & K THE CORNER STORE,630 COLVIN  AVENUE,BUFFALO,NY,14216,BUFFALO,ERIE,CONVENIENCE STORE,11/10/2020,"630 COLVIN  AVENUE
BUFFALO, NY 14216
(42.958120002000044, -78.85941597599998)"
MONROE,QUICK FOOD MARKET,1218 JAY STREET,ROCHESTER,NY,14611,ROCHESTER,MONROE,CONVENIENCE STORE,11/10/2020,"1218 JAY STREET
ROCHESTER, NY 14611
(43.15973100900004, -77.65382496499996)"
NYC,JAMAICA GOURMET DELI 1 INC,16834 JAMAICA AVENUE,JAMAICA,NY,11432,QUEENS,NEW YORK CITY,CONVENIENCE STORE,11/10/2020,"16834 JAMAICA AVENUE
JAMAICA, NY 11432
(40.706569986000034, -73.79126997399999)"
NYC,HUDSON RETAIL-NEU NEWS LAGUARDIA JV,000 LAGUARDIA AIRPORT TWA# 24,FLUSHING,NY,11369,QUEENS,NEW YORK CITY,CONVENIENCE STORE,11/10/2020,"000 LAGUARDIA AIRPORT TWA# 24
FLUSHING, NY 11369
(40.76955050300006, -73.88676119899998)"
NYC,JN NATURAL FRUIT CORP,202 6TH AVENUE,NEW YORK,NY,10013,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"202 6TH AVENUE
NEW YORK, NY 10013
(40.72715058600005, -74.00330356199999)"
NYC,QUENTIN GROCERY INC.,1690 EAST 16TH STREET,BROOKLYN,NY,11229,BROOKLYN,NEW YORK CITY,CONVENIENCE STORE,11/10/2020,"1690 EAST 16TH STREET
BROOKLYN, NY 11229
(40.60848998400007, -73.95741203499995)"
NYC,APPETITO DELI GROCERY INC,90-10 ROCKAWAY BEACH  BOULEVARD,ROCKAWAY BEACH,NY,11693,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"90-10 ROCKAWAY BEACH  BOULEVARD
ROCKAWAY BEACH, NY 11693
(40.58703000700007, -73.81429598399995)"
SUFFOLK,NORTH SHORE BEVERAGE,1028 RT.25A,MOUNT SINAI,NY,11766,BROOKHAVEN,SUFFOLK,LIQUOR/BEVERAGE STORE,11/10/2020,"1028 RT.25A
MOUNT SINAI, NY 11766
(40.94010699100005, -73.00045098799995)"
NYC,MY PLACE DELI GROCERY CORP,1526 BUSHWICK AVENUE,BROOKLYN,NY,11207,BROOKLYN,NEW YORK CITY,OTHER,11/10/2020,"1526 BUSHWICK AVENUE
BROOKLYN, NY 11207
(40.682300018000035, -73.90589803199998)"
ULSTER,CHESTNUT MARTS INC.,409 MAIN STREET,NEW PALTZ,NY,12561,NEW PALTZ,ULSTER,CONVENIENCE/GAS,11/10/2020,"409 MAIN STREET
NEW PALTZ, NY 12561
(41.74131420300006, -74.06256777099998)"
NYC,"ALAWDI, MOHAMED",11669 SUTPHIN BOULEVARD,JAMAICA,NY,11434,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"11669 SUTPHIN BOULEVARD
JAMAICA, NY 11434
(40.680680005000056, -73.79200799999995)"
NYC,6TH AVENUE GROCERY DELI OF BKLYN CORP,7901 6TH AVENUE,BROOKLYN,NY,11209,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"7901 6TH AVENUE
BROOKLYN, NY 11209
(40.62489001600005, -74.02139898099995)"
NYC,2430 DELI & GROCERY INC,2430 EAST TREMONT AVENUE,BRONX,NY,10461,BRONX,NEW YORK CITY,CONVENIENCE STORE,11/10/2020,"2430 EAST TREMONT AVENUE
BRONX, NY 10461
(40.84244000800004, -73.85216198599994)"
NYC,PARK SERVICE STATION INC.,49-04 COLLEGE POINT BOULEVARD,FLUSHING,NY,11355,QUEENS,NEW YORK CITY,CONVENIENCE STORE,11/10/2020,"49-04 COLLEGE POINT BOULEVARD
FLUSHING, NY 11355
(40.75205999900004, -73.83273600299998)"
NASSAU,BP / HEWLETT STAR AUTO CARE INC.,1169 BROADWAY,HEWLETT,NY,11557,HEMPSTEAD,NASSAU,CONVENIENCE/GAS,11/10/2020,"1169 BROADWAY
HEWLETT, NY 11557
(40.63565900100008, -73.70325202799995)"
ALBANY,SONA SONY QUICK MART CORP.,52 FULLER ROAD,ALBANY,NY,12205,COLONIE,ALBANY,CONVENIENCE/GAS,11/10/2020,"52 FULLER ROAD
ALBANY, NY 12205
(42.70006701900007, -73.82102497599993)"
SUFFOLK,7-ELEVEN #16869,1670 MIDDLE COUNTRY RD,RIDGE,NY,11961,BROOKHAVEN,SUFFOLK,CONVENIENCE STORE,11/10/2020,"1670 MIDDLE COUNTRY RD
RIDGE, NY 11961
(40.893167978000065, -72.89745093299996)"
NYC,LA HOOKAH SMOKE & VAPE CORP,569 WEST 207TH STREET,NEW YORK,NY,1001,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"569 WEST 207TH STREET
NEW YORK, NY 1001
(40.86652000000004, -73.92028003599995)"
NYC,HEIGHTS TOBACCO AND GIFT SHOP CORP.,3834 BROADWAY,NEW YORK,NY,10032,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"3834 BROADWAY
NEW YORK, NY 10032
(40.83571001000007, -73.94333999299994)"
NYC,J R LINCOLN PLAZA INC,1900 BROADWAY,NEW YORK,NY,10023,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"1900 BROADWAY
NEW YORK, NY 10023
(40.77170001400003, -73.98188501299995)"
NASSAU,STOP N GO,135 BABYLON TURNPIKE,ROOSEVELT,NY,11575,HEMPSTEAD,NASSAU,CONVENIENCE STORE,11/10/2020,"135 BABYLON TURNPIKE
ROOSEVELT, NY 11575
(40.67675501100007, -73.58469403099997)"
BROOME,CLINTON STREET EXPRESS MART,338 CLINTON STREET,BINGHAMTON,NY,13905,BINGHAMTON,BROOME,CONVENIENCE STORE,11/10/2020,"338 CLINTON STREET
BINGHAMTON, NY 13905
(42.11019670400003, -75.93663480099997)"
SARANAC LAKE DO,WENDY'S QUICK STOP,39 DEPOT STREET,CHATEAUGAY,NY,12920,CHATEAUGAY,FRANKLIN,CONVENIENCE STORE,11/10/2020,"39 DEPOT STREET
CHATEAUGAY, NY 12920
(44.92413101500006, -74.07916303399998)"
DUTCHESS,SHELL FOOD MART,2444 ROUTE 55,HOPEWELL JUNCTION,NY,12533,BEEKMAN,DUTCHESS,CONVENIENCE/GAS,11/10/2020,"2444 ROUTE 55
HOPEWELL JUNCTION, NY 12533
(41.62848801400003, -73.69629303599999)"
NYC,FM NEWSSTAND CORP,99 PARK AVENUE,NEW YORK,NY,10016,MANHATTAN,NEW YORK CITY,CONVENIENCE STORE,11/10/2020,"99 PARK AVENUE
NEW YORK, NY 10016
(40.75043001200004, -73.97859100899996)"
GLENS FALLS DO,PRICE CHOPPER #158,115  BALLSTON AVENUE,SARATOGA SPRINGS,NY,12866,SARATOGA,SARATOGA,GROCERY SUPERMARKET,11/10/2020,"115  BALLSTON AVENUE
SARATOGA SPRINGS, NY 12866
(43.07229401200004, -73.79300502799998)"
WESTCHESTER,CAFETO DELI & GROCERY,176 BEEKMAN AVENUE,SLEEPY HOLLOW,NY,10591,MT. PLEASANT,WESTCHESTER,DISCOUNT STORE,11/10/2020,"176 BEEKMAN AVENUE
SLEEPY HOLLOW, NY 10591
(41.08295398300004, -73.86580495799996)"
NASSAU,"CARDS & GIFTS / ACCENT LOBBY STORES, INC.",260 REXCORP PLAZA,UNIONDALE,NY,11553,HEMPSTEAD,NASSAU,STATIONERY STORE,11/10/2020,"260 REXCORP PLAZA
UNIONDALE, NY 11553
(40.71987028500007, -73.58742595099994)"
SUFFOLK,"HOOKAH CITY LOUNGE (SELLS CIGS, ETC)","2717 ROUTE 112, STE 2",MEDFORD,NY,11763,BROOKHAVEN,SUFFOLK,TOBACCO RETAIL,11/10/2020,"2717 ROUTE 112, STE 2
MEDFORD, NY 11763
(40.82226799400007, -72.99691399199997)"
TIOGA,APALACHIN DOLLAR GENERAL,7146 434 ROUTE,APALACHIN,NY,13732,OWEGO,TIOGA,CONVENIENCE STORE,11/10/2020,"7146 434 ROUTE
APALACHIN, NY 13732
(42.06768186200003, -76.14939238399995)"
ALBANY,DELI QUEEN & GROCERY,484 CLINTON AVENUE,ALBANY,NY,12206,ALBANY,ALBANY,CONVENIENCE STORE,11/10/2020,"484 CLINTON AVENUE
ALBANY, NY 12206
(42.66374999300007, -73.76693102199994)"
NYC,GREEN OLIVE INC.,8045 KEW GARDENS ROAD,KEW GARDENS,NY,11415,QUEENS,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"8045 KEW GARDENS ROAD
KEW GARDENS, NY 11415
(40.713359998000044, -73.82992496399999)"
GLENS FALLS DO,SPEEDWAY #07854,411 REYNOLDS ROAD,FORT EDWARD,NY,12828,FORT EDWARD,WASHINGTON,CONVENIENCE/GAS,11/10/2020,"411 REYNOLDS ROAD
FORT EDWARD, NY 12828
(43.25003717000004, -73.67041519699995)"
MONTICELLO DO,EXPRESS MOBIL,519 BROADWAY,MONTICELLO,NY,12701,THOMPSON,SULLIVAN,CONVENIENCE/GAS,11/10/2020,"519 BROADWAY
MONTICELLO, NY 12701
(41.65593501700005, -74.69226496999994)"
NYC,EVERGREEN ORGANIC FOODS & DELI INC,2709 FREDERICK DOUGLASS  BOULEVARD,NEW YORK,NY,10030,MANHATTAN,NEW YORK CITY,GAS STATION,11/10/2020,"2709 FREDERICK DOUGLASS  BOULEVARD
NEW YORK, NY 10030
(40.82212998600005, -73.94265602999997)"
NYC,"DESAI, HIMANSU",S/W/C WEST 57TH ST & 6TH AVENUE,NEW YORK,NY,10019,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"S/W/C WEST 57TH ST & 6TH AVENUE
NEW YORK, NY 10019
(40.76433005800004, -73.97716994099994)"
ORANGE,FAMILY DOLLAR #4582,156 DOLSON AVENUE,MIDDLETOWN,NY,10940,MIDDLETOWN,ORANGE,DISCOUNT STORE,11/10/2020,"156 DOLSON AVENUE
MIDDLETOWN, NY 10940
(41.42841558900005, -74.42603651899998)"
NYC,165TH & ANDERSON SUPERETTE INC.,64 WEST 165TH STREET,BRONX,NY,10452,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"64 WEST 165TH STREET
BRONX, NY 10452
(40.83362999900004, -73.92645096099994)"
OSWEGO,FASTRAC,214 WEST BRIDGE STREET,OSWEGO,NY,13126,OSWEGO,OSWEGO,CONVENIENCE/GAS,11/10/2020,"214 WEST BRIDGE STREET
OSWEGO, NY 13126
(43.45344999500003, -76.52651598499995)"
NASSAU,"MOBIL / CAR CARE OF MANHASSET, INC.",1111 NORTHERN  BOULEVARD,MANHASSET,NY,11030,N. HEMPSTEAD,NASSAU,CONVENIENCE/GAS,11/10/2020,"1111 NORTHERN  BOULEVARD
MANHASSET, NY 11030
(40.79010600300006, -73.70447100799998)"
NYC,M & S CANDY & SMOKE SHOP INC.,1261 PARK AVENUE,NEW YORK,NY,10029,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"1261 PARK AVENUE
NEW YORK, NY 10029
(40.78739998900005, -73.95161402099995)"
NYC,"DIAZ, FAUSTO J. & DIAZ, MARIO A.",335 SOUTH 2ND STREET,BROOKLYN,NY,11211,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"335 SOUTH 2ND STREET
BROOKLYN, NY 11211
(40.71043002000005, -73.95404200699994)"
NYC,"PAREKH, KISHOR T.",N/E/C EAST 86TH STREET,NEW YORK,NY,10028,MANHATTAN,NEW YORK CITY,STAND,11/10/2020,"N/E/C EAST 86TH STREET
NEW YORK, NY 10028
(40.778230404000055, -73.95258960099994)"
ERIE,LACKAWANNA TRADE MARKET,169 WILKESBARRE  AVENUE,LACKAWANNA,NY,14218,LACKAWANNA,ERIE,CONVENIENCE STORE,11/10/2020,"169 WILKESBARRE  AVENUE
LACKAWANNA, NY 14218
(42.82234398300005, -78.84356696999998)"
ONONDAGA,EWAY EXPRESS MART,2827 SOUTH SALINA STREET,SYRACUSE,NY,13205,SYRACUSE,ONONDAGA,CONVENIENCE STORE,11/10/2020,"2827 SOUTH SALINA STREET
SYRACUSE, NY 13205
(43.02025899000006, -76.14263303399997)"
SUFFOLK,MOBIL (KINGS RT.109 C-STORE),1200 RT. 109,LINDENHURST,NY,11757,BABYLON,SUFFOLK,CONVENIENCE/GAS,11/10/2020,"1200 RT. 109
LINDENHURST, NY 11757
(40.717269988000055, -73.40514503099996)"
NYC,L&L DELI GROCERY INC,2013 U AVENUE,BROOKLYN,NY,11229,BROOKLYN,NEW YORK CITY,OTHER,11/10/2020,"2013 U AVENUE
BROOKLYN, NY 11229
(40.59955998800007, -73.95085897899997)"
NYC,90-47 DELI GROCERY CORP,9047 149TH STREET,JAMAICA,NY,11435,NEW YORK CITY,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"9047 149TH STREET
JAMAICA, NY 11435
(40.702249995000045, -73.80555499999997)"
NYC,FLASH FOOD CORP.,1553 WATSON AVENUE,BRONX,NY,10472,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"1553 WATSON AVENUE
BRONX, NY 10472
(40.826359997000054, -73.87701801699995)"
NYC,IMAAN CORP,149 1ST AVENUE,NEW YORK,NY,10003,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"149 1ST AVENUE
NEW YORK, NY 10003
(40.728409998000075, -73.98493099699994)"
NASSAU,"ANDREA'S STATIONERY / WITTENBERG ENTERPRISES, INC.",628 WANTAGH  AVENUE,LEVITTOWN,NY,11756,HEMPSTEAD,NASSAU,STATIONERY STORE,11/10/2020,"628 WANTAGH  AVENUE
LEVITTOWN, NY 11756
(40.70884998900004, -73.50337397899995)"
CATTARAUGUS,DOLLAR GENERAL,529 PINE ST.,SOUTH DAYTON,NY,14138,DAYTON,CATTARAUGUS,DISCOUNT STORE,11/10/2020,"529 PINE ST.
SOUTH DAYTON, NY 14138
(42.36465925300007, -79.05712086399996)"
NASSAU,MOBIL,199 EAST SUNRISE HIGHWAY,FREEPORT,NY,11520,HEMPSTEAD,NASSAU,CONVENIENCE/GAS,11/10/2020,"199 EAST SUNRISE HIGHWAY
FREEPORT, NY 11520
(40.65777301800006, -73.57403099199996)"
NYC,"WEST 10 GROCERY, INC.",97 S AVENUE,BROOKLYN,NY,11223,BROOKLYN,NEW YORK CITY,OTHER,11/10/2020,"97 S AVENUE
BROOKLYN, NY 11223
(40.60086999600003, -73.98203999499998)"
NYC,GOLD ORGANIC MARKET CORP,257 GOLD STREET,BROOKLYN,NY,11201,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"257 GOLD STREET
BROOKLYN, NY 11201
(40.696869986000024, -73.98300198599998)"
WESTCHESTER,FRESH FOOD DELI & GRILL CORP,97 YONKERS  AVENUE,YONKERS,NY,10701,YONKERS,WESTCHESTER,DELICATESSEN,11/10/2020,"97 YONKERS  AVENUE
YONKERS, NY 10701
(40.93554799000003, -73.88592303399997)"
NYC,FORTUNE PRIZE GROCERY CORP,4903 8TH AVENUE,BROOKLYN,NY,11220,BROOKLYN,NEW YORK CITY,CONVENIENCE STORE,11/10/2020,"4903 8TH AVENUE
BROOKLYN, NY 11220
(40.641489998000054, -74.00311201499994)"
GENEVA DO,SPEEDWAY / ONTARIO,1202 ROUTE 104,ONTARIO,NY,14519,ONTARIO,WAYNE,CONVENIENCE/GAS,11/10/2020,"1202 ROUTE 104
ONTARIO, NY 14519
(43.22709423200007, -77.32225191799995)"
NYC,ZAID NASSER & SALLAH EXP DELI GROCER,597 FLATBUSH AVENUE,BROOKLYN,NY,11225,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"597 FLATBUSH AVENUE
BROOKLYN, NY 11225
(40.65888001600007, -73.96035098199997)"
PUTNAM,A & S MINI MART MOBIL,837 RT 6,MAHOPAC,NY,10541,CARMEL,PUTNAM,CONVENIENCE/GAS,11/10/2020,"837 RT 6
MAHOPAC, NY 10541
(41.383150002000036, -73.72517003399997)"
NYC,CAMPUS DELI AND GRILL INC.,1606 AMSTERDAM AVENUE,NEW YORK,NY,10031,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"1606 AMSTERDAM AVENUE
NEW YORK, NY 10031
(40.82161001400004, -73.95047198699996)"
NYC,KC SUPERMARKET & DELI INC,2607 BEDFORD AVENUE,BROOKLYN,NY,11226,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"2607 BEDFORD AVENUE
BROOKLYN, NY 11226
(40.63974654800006, -73.95413417099996)"
GLENS FALLS DO,ASC MART,22 N. CENTRAL  AVENUE,MECHANICVIILLE,NY,12118,MECHANICVILLE,SARATOGA,CONVENIENCE STORE,11/10/2020,"22 N. CENTRAL  AVENUE
MECHANICVIILLE, NY 12118
(42.90377299900007, -73.68719095999995)"
NYC,RALPH AVENUE GAS & STORE INC,2317 RALPH  AVENUE,BROOKLYN,NY,11234,BROOKLYN,NEW YORK CITY,GAS STATION,11/10/2020,"2317 RALPH  AVENUE
BROOKLYN, NY 11234
(40.62131999600007, -73.91705300399997)"
MONROE,FAMILY DOLLAR STORE #7105,460 WEST AVENUE,ROCHESTER,NY,14611,ROCHESTER,MONROE,DISCOUNT STORE,11/10/2020,"460 WEST AVENUE
ROCHESTER, NY 14611
(43.15091898800006, -77.65188899699996)"
NYC,"RAHMAN, MOHAMMED",S/E/C EAST FORDHAM ROAD,BRONX,NY,10458,BRONX,NEW YORK CITY,OTHER,11/10/2020,"S/E/C EAST FORDHAM ROAD
BRONX, NY 10458
(40.85617607100005, -73.87933178399999)"
SCHENECTADY,DOLLAR GENERAL,3985 STATE HIGHWAY 30,ESPERANCE,NY,12066,DUANESBURG,SCHENECTADY,DISCOUNT STORE,11/10/2020,"3985 STATE HIGHWAY 30
ESPERANCE, NY 12066
(42.75993482200005, -74.24617913199995)"
NYC,MARINE PARK DELI & GROCERY,3509 AVENUE S,BROOKLYN,NY,11234,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"3509 AVENUE S
BROOKLYN, NY 11234
(40.609539985000026, -73.93191503999998)"
NASSAU,ROOSEVELT CONVENIENCE & SMOKE SHOP CORP.,132  NASSAU  ROAD,ROOSEVELT,NY,11575,HEMPSTEAD,NASSAU,CONVENIENCE STORE,11/10/2020,"132  NASSAU  ROAD
ROOSEVELT, NY 11575
(40.67563699100003, -73.58797001399995)"
ERIE,MONTES GROCERY & DELI,413 SWAN STREET,BUFFALO,NY,14204,BUFFALO,ERIE,DELICATESSEN,11/10/2020,"413 SWAN STREET
BUFFALO, NY 14204
(42.878992992000065, -78.86046002599994)"
NYC,PAL DELI AND GROCERY INC.,3438 EAST TREMONT AVENUE,BRONX,NY,10465,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"3438 EAST TREMONT AVENUE
BRONX, NY 10465
(40.83236001500006, -73.82791900699993)"
HORNELL DO,TOPS MARKETS #540,360 WEST PULTENEY PLAZA,CORNING,NY,14830,CORNING,STEUBEN,GROCERY SUPERMARKET,11/10/2020,"360 WEST PULTENEY PLAZA
CORNING, NY 14830
(42.15268513900003, -77.07600719999994)"
NYC,BRIGHTON FINEST GOURMET DELI CORP.,291 BRIGHTON BEACH AVENUE,BROOKLYN,NY,11235,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"291 BRIGHTON BEACH AVENUE
BROOKLYN, NY 11235
(40.57715000600007, -73.96438703599995)"
NYC,HUDSON GROUP (HG) RETAIL LLC,655 W 35TH ST  STREET,NEW YORK,NY,10017,MANHATTAN,NEW YORK CITY,STAND,11/10/2020,"655 W 35TH ST  STREET
NEW YORK, NY 10017
(40.75277435900006, -73.99279889599995)"
NYC,BAZAAR DELI & GROCERY INC,30 O AVENUE,BROOKLYN,NY,11204,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"30 O AVENUE
BROOKLYN, NY 11204
(40.610070015000076, -73.98415600599998)"
GLENS FALLS DO,FASTRAC MARKETS,208 CORINTH  ROAD,QUEENSBURY,NY,12804,QUEENSBURY,WARREN,CONVENIENCE STORE,11/10/2020,"208 CORINTH  ROAD
QUEENSBURY, NY 12804
(43.297694998000054, -73.68224203299997)"
NYC,YEA DELI GROCERY CORP,2740 PITKIN AVENUE,BROOKLYN,NY,11208,BROOKLYN,NEW YORK CITY,BAR/LOUNGE,11/10/2020,"2740 PITKIN AVENUE
BROOKLYN, NY 11208
(40.675380002000054, -73.87114003899995)"
NYC,YUMMY FOODS DELI CORP,2445 FREDERICK DOUGLASS BOULEVARD,NEW YORK,NY,10027,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"2445 FREDERICK DOUGLASS BOULEVARD
NEW YORK, NY 10027
(40.81406001500005, -73.94855999099997)"
NYC,HARLEM HEALTH FOOD GOURMET DELI INC,2339 1ST  AVENUE,NEW YORK,NY,10035,MANHATTAN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"2339 1ST  AVENUE
NEW YORK, NY 10035
(40.798550016000036, -73.93377397899997)"
NYC,FRUIT KING & DELI GROCERY CORP,761 MCDONALD AVENUE,BROOKLYN,NY,11218,BROOKLYN,NEW YORK CITY,DELICATESSEN,11/10/2020,"761 MCDONALD AVENUE
BROOKLYN, NY 11218
(40.63543000800007, -73.97784300799998)"
MADISON,PRICE CHOPPER HAMILTON,1050 MADISON MARKETPLACE,HAMILTON,NY,13346,MADISON,MADISON,GROCERY SUPERMARKET,11/10/2020,"1050 MADISON MARKETPLACE
HAMILTON, NY 13346
(42.84247872000003, -75.55461593299998)"
NYC,GREENPOINT VAPE & TOBACCO SHOP INC,93 NASSAU AVENUE,BROOKLYN,NY,11222,BROOKLYN,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"93 NASSAU AVENUE
BROOKLYN, NY 11222
(40.723979995000036, -73.95044700899996)"
SUFFOLK,EVOLVE SMOKE SHOP,629 E. MAIN ST.,KINGS PARK,NY,11754,SMITHTOWN,SUFFOLK,TOBACCO RETAIL,11/10/2020,"629 E. MAIN ST.
KINGS PARK, NY 11754
(40.88257180700003, -73.22829452599996)"
CHEMUNG,KWIK FILL #A0026,1997 LAKE STREET,ELMIRA,NY,14901,ELMIRA,CHEMUNG,CONVENIENCE/GAS,11/10/2020,"1997 LAKE STREET
ELMIRA, NY 14901
(42.122319994000065, -76.80996998999996)"
SUFFOLK,SPEEDWAY#07796,1956 ROUTE 112,CORAM,NY,11727,BROOKHAVEN,SUFFOLK,GAS STATION,11/10/2020,"1956 ROUTE 112
CORAM, NY 11727
(40.883605001000035, -73.01194098499997)"
SCHENECTADY,SHOP RITE OF NISKAYUNA #229,2333 EAST NOTT  STREET,NISKAYUNA,NY,12309,NISKAYUNA,SCHENECTADY,GROCERY SUPERMARKET,11/10/2020,"2333 EAST NOTT  STREET
NISKAYUNA, NY 12309
(42.816581006000035, -73.88970100999995)"
NYC,JOSE H. SANCHEZ,81 WEST 162ND STREET,BRONX,NY,10452,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"81 WEST 162ND STREET
BRONX, NY 10452
(40.831319988000075, -73.92885103499998)"
RENSSELAER,JIFF-E-MART,3034 43 ROUTE,AVERILL PARK,NY,12018,SAND LAKE,RENSSELAER,CONVENIENCE STORE,11/10/2020,"3034 43 ROUTE
AVERILL PARK, NY 12018
(42.63492898700008, -73.55568904099994)"
NYC,ALANIS DELI GROCERY CORP.,2563-256 GRAND CONCOURSE,BRONX,NY,10468,BRONX,NEW YORK CITY,GROCERY SUPERMARKET,11/10/2020,"2563-256 GRAND CONCOURSE
BRONX, NY 10468
(40.86411663700005, -73.89614218899999)"
SCHENECTADY,VRANKEN DELI & GROCERY,2337 VAN VRANKEN  AVENUE,SCHENECTADY,NY,12308,SCHENECTADY,SCHENECTADY,CONVENIENCE STORE,11/10/2020,"2337 VAN VRANKEN  AVENUE
SCHENECTADY, NY 12308
(42.83428501000003, -73.91802396299994)"
